Sample,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,"(0, 2, 0, 0, 0)","(4, 2, 0, 0, 0)","(6, 4, 0, 0, 0)","(0, -2, 0, 1, 0)","(0, -2, 0, 2, 0)","(0, 0, 0, 1, 0)","(0, 0, 0, 0, 1)","(0, 1, 1, 0, 0)","(-1, -1, 1, 0, 0)","(-2, -1, 1, 0, 0)","(-2, -2, 0, 1, 0)","(5, 8, 0, 0, 0)","(2, 0, 0, 0, 1)","(2, 2, 0, 0, 0)","(4, 8, 0, 0, 0)","(2, 0, 0, 0, 0)","(-2, -2, 0, 0, 1)","(2, 1, 1, 0, 0)","(2, 0, 0, 1, 0)","(3, 2, 0, 0, 0)","(0, -1, 0, 0, 0)","(3, 6, 0, 0, 0)","(-1, 1, -1, 0, 0)"
19229,L1,DCM,iPrOH,L1_DCM,L1_ipa,L1_DCM_ipa,0.003498482,0.003677181,0.002606721,0.002670692,0.003239765,0.003387528,0.002828448,0.003247637,0.003917872,0.00305653,0.003590637,0.002987607,0.003563867,0.003097374,0.003474201,0.003403552,0.004252488,0.003160941,0.003090608,0.003115878,0.003099771,0.003343824,0.003760623
19230,L1,DCM,acetone,L1_DCM,L1_ace,L1_DCM_ace,0.003488033,0.003593961,0.002959799,0.0030233,0.003379953,0.003644834,0.002934786,0.002725111,0.003289787,0.002767171,0.003134347,0.003771453,0.00256001,0.003085164,0.003977315,0.002992942,0.002869576,0.002601579,0.003812648,0.003922808,0.003016041,0.002790777,0.003449059
19231,L1,DCM,acetone,L1_DCM,L1_ace,L1_DCM_ace,0.003033313,0.003478463,0.002208508,0.002727683,0.002992641,0.002688018,0.002322507,0.002707005,0.002418045,0.002540613,0.003107719,0.002733017,0.002599913,0.002311254,0.002574827,0.002571481,0.002779049,0.003209461,0.002590627,0.002890465,0.002814855,0.002193695,0.002561165
19232,L1,DCM,AcOH,L1_DCM,L1_AcOH,L1_DCM_AcOH,0.003848997,0.004479988,0.004592011,0.004058009,0.004092377,0.005274643,0.004441249,0.004284598,0.004295958,0.004322893,0.003480811,0.003794193,0.004953932,0.003505914,0.004446689,0.003474723,0.004538219,0.003668921,0.003647697,0.004331052,0.004032842,0.003947843,0.004460401
19233,L1,DCM,AcOH,L1_DCM,L1_AcOH,L1_DCM_AcOH,0.003466846,0.004270028,0.003461787,0.003874388,0.003227188,0.004243875,0.004130721,0.003588673,0.003973437,0.00434154,0.004312044,0.003467485,0.004130224,0.003032827,0.004491906,0.004060732,0.004639269,0.003299543,0.003363247,0.003781955,0.0036808,0.004010722,0.003433678
19234,L1,DCM,iPrOH,L1_DCM,L1_ipa,L1_DCM_ipa,0.001941941,0.001723006,0.001713471,0.00189566,0.001691437,0.001872797,0.001859093,0.001536863,0.001746364,0.00215544,0.001833996,0.001845568,0.002258009,0.001773052,0.001342105,0.001722711,0.001811154,0.001934209,0.002041506,0.001774465,0.001594288,0.002003676,0.001671204
19235,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.001308756,0.001660725,0.001407775,0.001366694,0.001350087,0.002291325,0.001676134,0.001601395,0.001443463,0.001475983,0.001730671,0.001716844,0.001605505,0.001507379,0.001239703,0.001594417,0.001594148,0.001932295,0.001303465,0.002008812,0.001705843,0.001022052,0.001565368
19236,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.001915427,0.001673152,0.001624152,0.002001019,0.001854095,0.001920379,0.002024064,0.001819068,0.001818403,0.001625388,0.002047363,0.001826854,0.00191789,0.00240859,0.002201498,0.001853479,0.002269507,0.001765062,0.002283569,0.002060949,0.001703209,0.001792281,0.001989484
19237,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.001246434,0.001318753,0.001651373,0.001291427,0.001543826,0.002060396,0.001753549,0.001517129,0.001329942,0.001574404,0.0013586,0.001861973,0.001873775,0.001584972,0.00152716,0.001624066,0.001897688,0.001718122,0.001399994,0.001767405,0.001456355,0.00132374,0.001757773
19238,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.001883547,0.001551807,0.00172532,0.001515661,0.001900286,0.00204878,0.001950227,0.001710827,0.001777317,0.001447016,0.001626709,0.001742651,0.001791925,0.002230024,0.001459556,0.002142715,0.001824499,0.001759794,0.002081927,0.001892334,0.001355726,0.001260224,0.001518301
19239,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.022983663,0.019678549,0.018881494,0.020408875,0.017807254,0.016999668,0.027470725,0.019623711,0.021529809,0.022005763,0.023490701,0.024016478,0.022753528,0.01824904,0.016618339,0.029047207,0.034162784,0.01666413,0.028010928,0.024807036,0.020324595,0.019934188,0.022006178
19240,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.001994192,0.001722282,0.002185304,0.001765867,0.002153334,0.002261349,0.00199815,0.002335762,0.002039546,0.001963386,0.00205503,0.002357214,0.001603287,0.001540116,0.001613417,0.001882946,0.001961473,0.002017653,0.002122406,0.001922083,0.001773832,0.001556062,0.002058775
19241,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.002962884,0.002575075,0.00280918,0.002370457,0.003104313,0.003029301,0.002457939,0.002384904,0.002420889,0.002786237,0.002610227,0.002534998,0.002383622,0.002530289,0.002117894,0.002141259,0.002572552,0.002765923,0.002703819,0.00299442,0.002278662,0.002133888,0.002245366
19242,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.003968085,0.004371912,0.004604076,0.003075469,0.004700698,0.003451312,0.00288723,0.003777146,0.003368961,0.002993938,0.003696722,0.003038295,0.003154931,0.003791973,0.002819418,0.00331626,0.003383349,0.003198957,0.002706315,0.003720282,0.003359477,0.003467516,0.003842559
19243,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.003104133,0.003399682,0.003759238,0.00386785,0.003350579,0.002886993,0.003687571,0.002843491,0.004042301,0.00367616,0.003343521,0.003783593,0.003711577,0.00288231,0.002757017,0.002760154,0.002916229,0.003459019,0.003156719,0.003139838,0.003734559,0.002913789,0.004422877
