label,location,loc1_vall,loc2_vall,loc3_vall,loc4_vall,loc5_vall,season,spring,summer,fall,winter,after_storm,land_use,developed,agriculture,forest,"r(6, 10, 0, 5, 0)","r(6, 8, 0, 4, 0)","r(1, 2, 0, 1, 0)","r(8, 11, 1, 2, 0)","r(1, 2, 0, 0, 0)","r(2, 2, 0, 1, 0)","r(2, 4, 0, 1, 0)","r(3, 6, 0, 1, 0)","r(8, 8, 0, 0, 0)","r(10, 8, 0, 4, 0)","r(5, 8, 0, 0, 0)","r(1, 0, 0, 2, 0)","r(0, 2, 0, 1, 0)","r(0, 3, 1, 0, 0)","r(0, 2, 0, 0, 1)","r(0, 2, 0, 0, 0)","r(0, -2, 0, 1, 0)","r(0, -2, 0, 2, 0)","r(0, 0, 0, 1, 0)","r(0, 1, 1, 0, 0)","r(0, 0, 0, 0, 1)","r(9, 8, 0, 2, 0)","r(6, 4, 0, 1, 0)","r(9, 10, 0, 3, 0)","r(7, 2, 0, 3, 0)","r(6, 4, 0, 3, 0)","r(7, 6, 0, 2, 0)","r(8, 8, 0, 3, 0)","r(0, 0, 0, 3, 1)","r(0, -2, 0, 2, 1)"
DOM_14,2,0,1,0,0,0,2,0,1,0,0,1,3,0,0,1,-0.018950298,-0.092621222,-0.122578587,0.077812844,-0.159998053,-0.033636935,0.007106901,0.136091874,0.014742265,0.049238772,0.023677765,0.088010842,-0.294469691,-0.081501015,-0.04248615,-0.359066404,-0.03268899,0.041135294,-0.280706235,-0.051595383,0.02092987,-0.00195285,0.069546251,-0.027068382,-0.011286665,0.08629117,-0.030976106,-0.023855548,0.002466059,-0.00925737
DOM_15,2,0,1,0,0,0,3,0,0,1,0,1,3,0,0,1,-0.103022049,-0.118235034,-0.057247379,-0.120541224,-0.263582294,-0.112251978,-0.053275161,-0.015934033,-0.137186691,-0.07073207,-0.117522111,-0.034639757,-0.362649938,-0.160319762,-0.117241804,-0.436064679,-0.25922903,-0.098695055,-0.258729388,-0.158648343,-0.064538397,-0.057829563,-0.060670945,-0.059402091,-0.111952963,-0.091745169,-0.109015414,-0.113207744,-0.094733159,-0.063981662
DOM_16,2,0,1,0,0,0,3,0,0,1,0,0,3,0,0,1,0.041855217,0.000230151,-0.139122625,-0.003816977,-0.247357507,-0.051244501,0.044384493,0.045583346,0.018563286,-0.009550712,0.040768142,-0.031641184,-0.142875836,0.067296464,0.006708643,-0.356564946,-0.190701993,-0.081668787,-0.273054068,0.073533707,0.110259736,0.035869873,0.051415927,0.045729185,0.006299438,-0.007514402,-0.04813049,0.013656342,0.035777648,0.018178154
DOM_17,3,0,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0.170955852,0.042814313,-0.058381866,0.084333922,-0.478916799,0.077041583,0.139345531,0.151848777,0.006449704,0.163164361,0.048654828,0.15344482,-0.241593691,0.033647737,0.099631636,-0.592078969,-0.347175879,-0.050360148,-0.280457169,0.048508361,0.083577308,0.014711323,0.056972247,0.020081067,0.032215878,0.020267641,0.050907038,0.03370527,0.073300065,0.107963521
DOM_18,3,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,0.057888396,-0.062847926,-0.361951699,0.143574935,-0.542638196,-0.203478309,-0.147637899,-0.083959607,-0.112614467,0.008927231,-0.110378213,-0.125827536,-0.394337823,0.124186298,0.079773913,-0.750541502,-0.520612613,-0.250497006,-0.528222689,0.222895505,0.037957217,-0.032697301,0.045688295,-0.038512643,-0.023761766,-0.161319829,-0.108530016,-0.118133294,0.056208541,0.020648729
DOM_19,3,0,0,1,0,0,2,0,1,0,0,1,2,0,1,0,0.091358388,-0.033076235,-0.213020863,0.12628743,-0.413039268,0.034401831,0.050337056,0.103800065,0.064660646,0.035283857,0.012477475,0.125006592,-0.355768743,0.067259948,0.056700211,-0.660207458,-0.364028702,-0.101922488,-0.402582393,0.004854337,0.071644192,-0.06255867,0.112078187,-0.007750333,0.022371458,-0.039139785,-0.039271233,0.014183381,0.036063905,0.031439857
DOM_20,3,0,0,1,0,0,4,0,0,0,1,0,2,0,1,0,-0.088981434,-0.161123616,-0.430565354,-0.179064652,-0.572528524,0.076889509,-0.222352835,-0.243004007,-0.293853693,-0.0479478,-0.15882195,-0.238229977,-0.40961966,0.027776346,0.018047889,-0.789777737,-0.558108982,-0.377587392,-0.565534714,-0.125179935,-0.228586378,-0.227964197,-0.243016753,-0.064168227,-0.245224769,-0.281728866,-0.179493447,-0.315268487,-0.162001925,-0.102028178
DOM_21,3,0,0,1,0,0,4,0,0,0,1,1,2,0,1,0,-0.051203126,-0.173472169,-0.466403705,-0.204912581,-0.522262612,-0.208918685,-0.098855613,-0.154075652,-0.212765696,-0.00539273,-0.146664901,-0.202975726,-0.484374069,-0.08045054,-0.071039129,-0.749694456,-0.522670123,-0.30036478,-0.491558689,-0.03842869,-0.063883561,-0.184203354,-0.161593227,-0.1963037,-0.160034928,-0.197461396,-0.243699922,-0.190169086,-0.046878201,-0.193167879
DOM_22,3,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0.205013074,0.07962688,-0.292345972,0.055417033,-0.446379104,0.074618871,-0.018475383,0.003743592,-0.035018441,-0.124245128,0.074136362,0.13468509,-0.152697248,0.183552025,0.142919697,-0.699666343,-0.411206162,-0.131780434,-0.481528992,0.343136678,0.098608073,-0.029353946,0.049832006,0.149095721,-0.102095232,-0.036920862,0.076389119,0.112263678,-0.044134609,-0.002199978
DOM_23,3,0,0,1,0,0,3,0,0,1,0,1,2,0,1,0,0.014755586,0.112042543,0.299143066,-0.025920923,0.451567058,-0.078838005,0.217662671,-0.023109496,-0.029307874,0.049660651,0.001022052,0.175270602,-0.102314962,0.003693286,0.145291798,0.111680315,0.095895068,1.259962345,0.048672941,0.990551045,0.072822472,0.058334233,-0.05176669,0.019463507,0.163022776,0.112576976,0.14905505,0.107468236,0.231540086,-0.034086922
