Formula,Mono Inty
C14H18O,0.1641401
C15H20O,0.1018962
C16H22O,0.0944843
C18H26O,0.0801739
C14H16O,0.1308991
C15H18O,0.090896
C16H20O,0.1254062
C17H22O,0.09009
C15H16O,0.1044011
C16H18O,0.1464067
C17H20O,0.0864911
C18H22O,0.0996806
C12H18O2,0.1829515
C13H20O2,0.1499222
C14H22O2,0.1711756
C16H26O2,0.0859912
C11H14O2,0.0845924
C12H16O2,0.308313
C13H18O2,0.2447312
C14H20O2,0.3028072
C15H22O2,0.2280363
C16H24O2,0.1575148
C17H26O2,0.1016328
C11H12O2,0.0778274
C12H14O2,0.340008
C13H16O2,0.2841569
C14H18O2,0.3264494
C15H20O2,0.2817862
C16H22O2,0.268292
C17H24O2,0.2046017
C18H26O2,0.1621043
C19H28O2,0.0994693
C12H12O2,0.166504
C13H14O2,0.2929251
C14H16O2,0.3008553
C15H18O2,0.3520915
C16H20O2,0.3888467
C17H22O2,0.2853571
C18H24O2,0.3040648
C19H26O2,0.2026484
C20H28O2,0.2369417
C21H30O2,0.0972491
C22H32O2,0.0766599
C13H12O2,0.238597
C14H14O2,0.2546118
C15H16O2,0.2700503
C16H18O2,0.2273978
C17H20O2,0.306093
C18H22O2,0.2411118
C19H24O2,0.2589912
C20H26O2,0.2026895
C21H28O2,0.0917608
C13H10O2,0.1594466
C14H12O2,0.1518031
C15H14O2,0.2749624
C16H16O2,0.1887978
C17H18O2,0.2221278
C18H20O2,0.209651
C19H22O2,0.1507317
C20H24O2,0.1646686
C21H26O2,0.1627492
C13H8O2,0.1207316
C14H10O2,0.1116415
C15H12O2,0.2587731
C16H14O2,0.1516732
C17H16O2,0.1823896
C18H18O2,0.1617962
C19H20O2,0.0849816
C20H22O2,0.0941378
C21H24O2,0.1144698
C15H10O2,0.1237059
C16H12O2,0.129465
C17H14O2,0.1083328
C18H16O2,0.094533
C19H18O2,0.1151842
C20H20O2,0.0887534
C11H16O3,0.2330354
C12H18O3,0.1975052
C13H20O3,0.3069748
C14H22O3,0.213797
C15H24O3,0.1963584
C16H26O3,0.1641553
C11H14O3,0.4242099
C12H16O3,0.4396269
C13H18O3,0.61895
C14H20O3,0.4463934
C15H22O3,0.5079769
C16H24O3,0.3037331
C17H26O3,0.292592
C18H28O3,0.1947673
C19H30O3,0.1371472
C20H32O3,0.127797
C11H12O3,0.3749922
C12H14O3,0.4072759
C13H16O3,0.7207173
C14H18O3,0.6814685
C15H20O3,0.6893737
C16H22O3,0.4902029
C17H24O3,0.4404216
C18H26O3,0.451458
C19H28O3,0.4108403
C20H30O3,0.2278763
C21H32O3,0.1229544
C11H10O3,0.3243317
C12H12O3,0.3823224
C13H14O3,0.5063722
C14H16O3,0.5248678
C15H18O3,0.7103199
C16H20O3,0.5996771
C17H22O3,0.6257386
C18H24O3,0.5319321
C19H26O3,0.531831
C20H28O3,0.3756534
C21H30O3,0.2240695
C22H32O3,0.1523623
C11H8O3,0.1804013
C12H10O3,0.2261243
C13H12O3,0.3788859
C14H14O3,0.4940855
C15H16O3,0.5935692
C16H18O3,0.5320659
C17H20O3,0.7218804
C18H22O3,0.5303233
C19H24O3,0.6736614
C20H26O3,0.5021079
C21H28O3,0.3660431
C22H30O3,0.2443631
C12H8O3,0.1754628
C13H10O3,0.1989316
C14H12O3,0.3318807
C15H14O3,0.3111921
C16H16O3,0.3972288
C17H18O3,0.4484166
C18H20O3,0.5044569
C19H22O3,0.6140343
C20H24O3,0.4020787
C21H26O3,0.3175261
C22H28O3,0.2078109
C23H30O3,0.1373439
C13H8O3,0.1639168
C14H10O3,0.3738388
C15H12O3,0.3001123
C16H14O3,0.2944919
C17H16O3,0.3389827
C18H18O3,0.3189462
C19H20O3,0.3419861
C20H22O3,0.2858011
C21H24O3,0.2836252
C22H26O3,0.208115
C23H28O3,0.1375778
C14H8O3,0.2234269
C15H10O3,0.2228027
C16H12O3,0.2037563
C17H14O3,0.240249
C18H16O3,0.1720716
C19H18O3,0.1803999
C20H20O3,0.2146869
C21H22O3,0.1802034
C22H24O3,0.2119825
C24H28O3,0.0863436
C15H8O3,0.1235007
C16H10O3,0.1836546
C17H12O3,0.2026174
C18H14O3,0.173108
C19H16O3,0.1283899
C20H18O3,0.1498726
C21H20O3,0.1301253
C22H22O3,0.1633178
C23H24O3,0.0919968
C16H8O3,0.0840856
C17H10O3,0.13299
C18H12O3,0.1229707
C19H14O3,0.1578659
C20H16O3,0.1395887
C21H18O3,0.1124702
C22H20O3,0.0874227
C10H16O4,0.2542138
C11H18O4,0.1849005
C12H20O4,0.2019707
C13H22O4,0.1365659
C14H24O4,0.1387751
C15H26O4,0.1225936
C16H28O4,0.1002407
C10H14O4,0.3471212
C11H16O4,0.4187656
C12H18O4,0.6350445
C13H20O4,0.4256247
C14H22O4,0.4828908
C15H24O4,0.5993192
C16H26O4,0.2705478
C17H28O4,0.253545
C18H30O4,0.1583762
C19H32O4,0.1159203
C20H34O4,0.0759451
C10H12O4,0.2972011
C11H14O4,0.4830264
C12H16O4,0.7437579
C13H18O4,0.7704263
C14H20O4,0.825272
C15H22O4,1.1112735
C16H24O4,0.6622053
C17H26O4,0.5513469
C18H28O4,0.4665995
C19H30O4,0.3837109
C20H32O4,0.3458745
C21H34O4,0.1095891
C10H10O4,0.3196129
C11H12O4,0.4155247
C12H14O4,0.8534209
C13H16O4,0.8335185
C14H18O4,1.3077897
C15H20O4,1.2953833
C16H22O4,1.2367721
C17H24O4,1.1111904
C18H26O4,1.0711859
C19H28O4,0.8004063
C20H30O4,0.7881734
C21H32O4,0.1724453
C22H34O4,0.1262674
C10H8O4,0.3579869
C11H10O4,0.3820654
C12H12O4,0.6993057
C13H14O4,0.7785499
C14H16O4,1.0251446
C15H18O4,1.1319093
C16H20O4,1.197015
C17H22O4,1.5039978
C18H24O4,1.5798295
C19H26O4,1.2737162
C20H28O4,1.0922645
C21H30O4,0.5571657
C22H32O4,0.2188671
C23H34O4,0.1225408
C24H36O4,0.082834
C10H6O4,0.2314366
C11H8O4,0.3900207
C12H10O4,0.5104712
C13H12O4,0.505629
C14H14O4,0.6992877
C15H16O4,0.81024
C16H18O4,1.0135074
C17H20O4,1.0676702
C18H22O4,1.3493289
C19H24O4,1.5015925
C20H26O4,1.1866304
C21H28O4,0.8131444
C22H30O4,0.2756347
C23H32O4,0.2033441
C24H34O4,0.0852781
C25H36O4,0.0828158
C29H44O4,0.0909374
C11H6O4,0.1252739
C12H8O4,0.3672531
C13H10O4,0.4711563
C14H12O4,0.5683678
C15H14O4,0.4716756
C16H16O4,0.7599447
C17H18O4,0.7227689
C18H20O4,1.0557563
C19H22O4,1.0539351
