Formula,Mono Inty
C23H28,13555076.78
C24H30,17251734.34
C25H32,22279641.8
C26H34,24286765.22
C27H36,23700720.53
C28H38,29717074.19
C29H40,26389652.4
C30H42,24731688.06
C31H44,24249202.79
C32H46,18290512.81
C33H48,18210973.91
C34H50,15608545.57
C35H52,13622798.61
C36H54,13341002.41
C37H56,10972846.39
C38H58,9707941.836
C39H60,10294839.26
C40H62,9857894.777
C41H64,8025459.842
C42H66,7783431.97
C43H68,7475052.238
C44H70,5902231.388
C45H72,4870891.644
C46H74,3847882.866
C47H76,3973716.101
C48H78,3484783.79
C50H82,2828970.782
C51H84,2897879.36
,
Formula,Mono Inty
C16H12,1717821.4
C17H14,2913183.846
C18H16,7767039.394
C19H18,11964420.65
C20H20,18469092.32
C21H22,23826465.64
C22H24,16996794.39
C23H26,15153465.33
C24H28,16644736.26
C25H30,21542408.34
C26H32,22009618.4
C27H34,23568911.3
C28H36,24973834.11
C29H38,19882229.68
C30H40,21867304.2
C31H42,20775076.2
C32H44,17192054.5
C33H46,16493905.9
C34H48,14652393.41
C35H50,16399196.42
C36H52,13819678.76
C37H54,12255174.45
C38H56,10936372.18
C39H58,10697413.44
C40H60,9107854.017
C41H62,8898184.13
C42H64,6743779.632
C43H66,6453506.732
C44H68,5144150.684
C45H70,4481134.921
C46H72,4129780.468
C47H74,4205093.906
C48H76,3657638.439
C49H78,2767911.856
C50H80,2684864.284
C54H88,2648836.266
,
Formula,Mono Inty
C18H14,5600696.532
C19H16,8026992.169
C20H18,15048629.69
C21H20,18463465.48
C22H22,18394169.6
C23H24,19236184.58
C24H26,22452441.73
C25H28,22879339.14
C26H30,27883653.19
C27H32,27501785.65
C28H34,28338712.02
C29H36,26861286.24
C30H38,19179191.7
C31H40,18728802.59
C32H42,19135262.52
C33H44,19252864.03
C34H46,15677954.93
C35H48,11736872.26
C36H50,14804730.81
C37H52,11889322.54
C38H54,10375095.66
C39H56,9251437.181
C40H58,9376895.717
C41H60,8763877.921
C42H62,7213713.69
C43H64,6841243.839
C44H66,4074558.28
C45H68,4691214.125
C46H70,4977553.722
C47H72,3915860.706
C48H74,2685277.403
C49H76,2629293.198
C50H78,2692466.326
C51H80,2804915.655
,
Formula,Mono Inty
C19H14,5511036.984
C20H16,18834348.18
C21H18,25986149.53
C22H20,25229265.37
C23H22,24201717.15
C24H24,23976548.23
C25H26,23361993.33
C26H28,27635558.89
C27H30,24243183.24
C28H32,24763665.98
C29H34,22833353.08
C30H36,19378854.27
C31H38,19403810.59
C32H40,17847453.67
C33H42,19573204.76
C34H44,16205368.55
C35H46,16585976.17
C36H48,13393900.21
C37H50,11456159.67
C38H52,10033546.88
C39H54,9975562.635
C40H56,8431541.544
C41H58,7775741.809
C42H60,5730172.045
C43H62,5845307.586
C44H64,5589285.002
C45H66,4801448.914
C46H68,4496525.208
C47H70,3251331.443
C48H72,2822057.275
C49H74,3498291.731
,
Formula,Mono Inty
C20H14,1806267.767
C21H16,7505034.306
C22H18,19651247.36
C23H20,24468808.53
C24H22,30505059.29
C25H24,28623740.5
C26H26,24361079.83
C27H28,23038816.73
C28H30,24217603.36
C29H32,23328706.63
C30H34,21449578.97
C31H36,20637833.79
C32H38,17277311.81
C33H40,14807714.67
C34H42,15756480
C35H44,13134324.28
C36H46,12862878.7
C37H48,11094938.81
C38H50,12121461.29
C39H52,9226557.252
C40H54,8162009.242
C41H56,7320181.033
C42H58,6999063.2
C43H60,5899767.413
C44H62,5138709.938
C45H64,4174641.581
C46H66,3853816.206
C47H68,4801262.059
C48H70,3563448.851
C49H72,3351972.8
C50H74,2346686.665
C52H78,2347143.667
,
Formula,Mono Inty
C20H12,6121577.084
C21H14,10793390.18
C22H16,22504421.04
C23H18,27799352.71
C24H20,30466662.19
C25H22,32231526.49
C26H24,30859174.86
C27H26,26107156.24
C28H28,24221088.83
C29H30,22378898.3
C30H32,23288507.51
C31H34,18566403.53
C32H36,16142238.26
C33H38,15414451.02
C34H40,16023066.72
C35H42,16216759.59
C36H44,11999500.49
C37H46,11052999.72
C38H48,10255117.33
C39H50,8848748.437
C40H52,7479799.403
C41H54,8250440.463
C42H56,5286841.541
C43H58,5081064.563
C44H60,4425191.98
C45H62,4171604.844
C46H64,3860066.819
C47H66,3078374.879
C48H68,3919081.829
C49H70,3003239.491
C50H72,2553005.465
C54H80,2377997.384
,
Formula,Mono Inty
C22H14,4899495.822
C23H16,12611550.67
C24H18,27633205.74
C25H20,36539121.82
C26H22,32059115.89
C27H24,29126069.16
C28H26,31598875.68
C29H28,22800685.89
C30H30,21301887.63
C31H32,19654407.37
C32H34,16648075.99
C33H36,17145870.71
C34H38,14174505.6
C35H40,15861380.53
C36H42,12976853.11
C37H44,11991463.46
C38H46,8544566.444
C39H48,8143407.289
C40H50,6383175.398
C41H52,6056645.333
C42H54,5561607.687
C43H56,4364083.856
C44H58,4254297.388
C45H60,3827074.401
C46H62,3590182.416
C47H64,3697312.505
C48H66,4054040.424
C49H68,3053601.302
,
Formula,Mono Inty
C22H12,3401825.347
C23H14,6079213.993
C24H16,13706185.04
C25H18,17759949.1
C26H20,23834380.48
C27H22,28422625.94
C28H24,26859674.87
C29H26,26490716.41
C30H28,23479140.61
C31H30,19484451.79
C32H32,16636264.24
C33H34,17584361.33
C34H36,14199759.45
C35H38,15152674.33
C36H40,11130697.28
C37H42,10214625.89
C38H44,9222481.181
C39H46,7935448.304
C40H48,7278800.004
C41H50,7264435.312
C42H52,6000139.381
C43H54,5669392.23
C44H56,4777552.878
C45H58,3794716.193
C46H60,3059118.147
C47H62,3837230.755
C48H64,2482667.282
C49H66,3377340.22
C50H68,2342177.109
C54H76,2473536.173
,
Formula,Mono Inty
C24H14,6981665.604
