Formula,Mono Inty
C14H20O2,0.1172375
C15H22O2,0.3091645
C16H24O2,0.1368391
C17H26O2,0.1003176
C18H28O2,0.1315262
C19H30O2,0.0769045
C20H32O2,0.7752802
C14H18O2,0.1086924
C16H22O2,0.20018
C17H24O2,0.1458679
C18H26O2,0.1681713
C19H28O2,0.1219496
C20H30O2,3.3032792
C30H50O2,0.1703738
C14H16O2,0.1562609
C16H20O2,0.2523178
C17H22O2,0.2035138
C18H24O2,0.2755457
C19H26O2,0.1481522
C20H28O2,6.0885797
C21H30O2,0.1344501
C30H48O2,0.1200291
C16H18O2,0.1470533
C17H20O2,0.1762686
C18H22O2,0.2030166
C19H24O2,0.1462752
C20H26O2,0.4179453
C21H28O2,0.1174966
C30H46O2,0.2966053
C16H16O2,0.1684252
C17H18O2,0.1686409
C18H20O2,0.129196
C19H22O2,0.1037914
C20H24O2,0.0975765
C14H10O2,0.0904102
C16H14O2,0.1337334
C17H16O2,0.0920597
C18H18O2,0.0980076
C23H28O2,0.0814312
C15H10O2,0.138693
C16H12O2,0.1023892
C17H14O2,0.1299506
C18H16O2,0.0937412
C18H32O3,0.4016463
C19H34O3,0.1073891
C20H36O3,0.1453956
C22H40O3,0.0802812
C14H22O3,0.2017353
C15H24O3,0.1879502
C16H26O3,0.1484853
C17H28O3,0.1049649
C18H30O3,1.2460016
C19H32O3,0.1211892
C20H34O3,0.3541076
C13H18O3,0.400978
C14H20O3,0.2590668
C15H22O3,0.4977818
C16H24O3,0.271614
C17H26O3,0.3017556
C18H28O3,0.3660561
C19H30O3,0.3855568
C20H32O3,1.0252887
C21H34O3,0.1335932
C30H52O3,0.1464501
C35H62O3,0.0938286
C14H18O3,0.4738964
C15H20O3,0.4888572
C16H22O3,0.3445436
C17H24O3,0.3728181
C18H26O3,0.3986919
C19H28O3,0.357781
C20H30O3,1.0091814
C21H32O3,0.3494033
C22H34O3,0.0760312
C29H48O3,0.1192457
C30H50O3,0.2176027
C13H14O3,0.1054075
C15H18O3,0.494112
C16H20O3,0.3871529
C17H22O3,0.4741005
C18H24O3,0.3953127
C19H26O3,0.4569554
C20H28O3,1.7762216
C21H30O3,0.3286677
C22H32O3,0.1466992
C30H48O3,6.2319183
C13H12O3,0.225815
C15H16O3,0.4200316
C16H18O3,0.3213149
C17H20O3,0.5072912
C18H22O3,0.3836943
C19H24O3,0.5330944
C20H26O3,1.1774522
C21H28O3,0.3233214
C22H30O3,0.1841596
C23H32O3,0.1017621
C30H46O3,0.6484904
C13H10O3,0.1357217
C15H14O3,0.2445783
C16H16O3,0.3605096
C17H18O3,0.3282658
C18H20O3,0.339424
C19H22O3,0.3940921
C20H24O3,0.3087613
C21H26O3,0.268439
C22H28O3,0.1422643
C23H30O3,0.1207771
C30H44O3,0.0946784
C13H8O3,0.1120455
C15H12O3,0.3186634
C16H14O3,0.2757727
C17H16O3,0.2230442
C18H18O3,0.2201096
C19H20O3,0.2134046
C20H22O3,0.1787223
C21H24O3,0.1728428
C22H26O3,0.1858559
C23H28O3,0.098218
C28H38O3,0.1360557
C15H10O3,0.2378839
C16H12O3,0.2646596
C17H14O3,0.2422442
C18H16O3,0.1585485
C19H18O3,0.1321411
C20H20O3,0.1124587
C21H22O3,0.099146
C22H24O3,0.1406222
C15H8O3,0.205564
C16H10O3,0.2580024
C17H12O3,0.2570997
C18H14O3,0.1760705
C19H16O3,0.1410485
C20H18O3,0.141746
C21H20O3,0.0901114
C22H22O3,0.0922998
C16H8O3,0.0822303
C17H10O3,0.1469316
C18H12O3,0.1438118
C19H14O3,0.1406427
C13H24O4,0.0990086
C14H26O4,0.0761144
C16H30O4,1.8263549
C17H32O4,0.3387928
C18H34O4,3.8305612
C19H36O4,0.1018336
C20H38O4,0.9958172
C21H40O4,0.1140915
C22H42O4,0.8859215
C23H44O4,0.1532116
C24H46O4,0.156206
C13H22O4,0.153241
C14H24O4,0.1186795
C15H26O4,0.1260866
C16H28O4,0.2783486
C17H30O4,0.1136316
C18H32O4,14.7247715
C19H34O4,1.4684879
C20H36O4,0.7291188
C21H38O4,0.10971
C22H40O4,0.138614
C40H76O4,0.0853092
C13H20O4,0.3434667
C14H22O4,0.3777031
C15H24O4,0.4956877
C16H26O4,0.2111046
C17H28O4,0.1748791
C18H30O4,1.9511911
C19H32O4,0.2521768
C20H34O4,0.5050059
C21H36O4,0.092184
C13H18O4,0.5300205
C14H20O4,0.6154859
C15H22O4,0.9079237
C16H24O4,0.5124504
C17H26O4,0.5121619
C18H28O4,0.6688871
C19H30O4,0.5528856
C20H32O4,1.7218567
C21H34O4,0.1643637
C22H36O4,0.1173113
C12H14O4,0.6810164
C13H16O4,0.6124695
C14H18O4,0.8933346
C15H20O4,0.9610837
C16H22O4,2.1701486
C17H24O4,0.8694797
C18H26O4,0.8440197
C19H28O4,0.7263008
C20H30O4,1.8560543
C21H32O4,0.3176681
C22H34O4,0.1679542
C27H44O4,0.8006372
C28H46O4,0.103348
C29H48O4,3.724457
C30H50O4,1.1206285
C31H52O4,4.5579181
C32H54O4,0.1861009
C33H56O4,1.0675299
C35H60O4,0.0770134
C11H10O4,0.0992871
C13H14O4,0.5675142
C14H16O4,0.7387211
C15H18O4,0.7979894
C16H20O4,0.7433262
C17H22O4,0.9386897
C18H24O4,1.1417027
C19H26O4,0.9372808
C20H28O4,1.4198009
C21H30O4,0.5388712
C22H32O4,0.21231
C23H34O4,0.259419
C24H36O4,0.085998
C25H38O4,0.1108074
C28H44O4,0.0810586
C29H46O4,0.4986951
C30H48O4,1.2178382
C31H50O4,0.11535
C11H8O4,0.1211999
C14H14O4,0.6489972
C15H16O4,0.5968947
C16H18O4,0.6725631
C17H20O4,0.6831071
C18H22O4,0.8766886
C19H24O4,1.0322332
C20H26O4,1.1870968
C21H28O4,0.6365498
C22H30O4,0.2375379
C23H32O4,0.3004575
C24H34O4,0.1009444
C25H36O4,0.104927
C26H38O4,0.0985279
C27H40O4,0.0874714
C28H42O4,0.0784483
C29H44O4,0.1416414
C30H46O4,0.3212359
C14H12O4,0.6340839
C15H14O4,0.4749074
C16H16O4,0.6761608
C17H18O4,0.5586709
C18H20O4,0.7362517
C19H22O4,0.6853303
C20H24O4,0.7607226
C21H26O4,0.4911803
C22H28O4,0.2718124
C23H30O4,0.1942201
C24H32O4,0.1333726
C25H34O4,0.0982356
C26H36O4,0.0935549
C27H38O4,0.0884536
C28H40O4,0.0868311
C29H42O4,0.0890972
C30H44O4,0.1780871
C14H10O4,0.4073558
C15H12O4,0.4831435
C16H14O4,0.5359788
C17H16O4,0.542495
C18H18O4,0.6005491
C19H20O4,0.4817593
C20H22O4,0.556483
C21H24O4,0.3657052
C22H26O4,0.2739264
C23H28O4,0.1198932
C24H30O4,0.1332411
C26H34O4,0.0997512
C27H36O4,0.0995814
C28H38O4,0.0918747
C30H42O4,0.0990746
C14H8O4,0.3728804
C15H10O4,0.5299547
C16H12O4,0.4403991
C17H14O4,0.3824641
C18H16O4,0.3840622
C19H18O4,0.3392198
C20H20O4,0.3097897
C21H22O4,0.2877023
C22H24O4,0.2238276
C23H26O4,0.1122681
C25H30O4,0.0890402
C26H32O4,0.0922797
C14H6O4,0.0892847
C15H8O4,0.2794186
C16H10O4,0.4580892
C17H12O4,0.3756322
C18H14O4,0.3012165
C19H16O4,0.3164042
C20H18O4,0.2214999
C21H20O4,0.2741285
C22H22O4,0.1354074
C23H24O4,0.0781431
C39H56O4,2.5009184
C40H58O4,0.1114337
C16H8O4,0.2547454
C17H10O4,0.4039413
C18H12O4,0.3999479
C19H14O4,0.3541438
C20H16O4,0.2159389
C21H18O4,0.2109277
C22H20O4,0.1180859
C23H22O4,0.0967093
C27H30O4,0.0775996
C17H8O4,0.1106149
C18H10O4,0.23771
C19H12O4,0.331478
C20H14O4,0.1809908
C21H16O4,0.1849455
C22H18O4,0.152877
C18H8O4,0.1000618
C19H10O4,0.2025609
C20H12O4,0.2154353
C21H14O4,0.2186649
C22H16O4,0.1523749
C24H20O4,0.0855469
C19H8O4,0.0820434
C20H10O4,0.1207918
C21H12O4,0.1410642
C22H14O4,0.1479353
C12H22O5,0.0985139
C15H28O5,0.0893791
C16H30O5,1.2825449
C17H32O5,0.3781478
C18H34O5,3.5499048
C19H36O5,0.3222964
C20H38O5,0.5399947
C21H40O5,0.1128349
C22H42O5,0.5130442
C23H44O5,0.1320618
C12H20O5,0.3405459
C13H22O5,0.194829
C14H24O5,0.1971878
C15H26O5,0.281943
C16H28O5,0.3068462
C17H30O5,0.210052
C18H32O5,15.6631479
C19H34O5,1.1680467
C20H36O5,0.4983621
C22H40O5,0.1845353
C40H76O5,0.0799671
C10H14O5,0.1110411
C12H18O5,0.457035
C13H20O5,0.6162654
C14H22O5,0.7168596
C15H24O5,0.9444879
C16H26O5,0.6080871
C17H28O5,0.4070967
C18H30O5,1.4674618
C19H32O5,0.3093576
C20H34O5,0.4116969
C21H36O5,0.105764
C22H38O5,0.1791518
C36H66O5,0.2511986
C10H12O5,0.1744318
C12H16O5,0.7451498
C13H18O5,0.9606661
C14H20O5,1.2860301
C15H22O5,1.6083071
C16H24O5,1.0588888
C17H26O5,0.9895566
C18H28O5,0.8947701
C19H30O5,0.8525651
C20H32O5,1.1072348
C21H34O5,0.1583811
C22H36O5,0.2403943
C23H38O5,0.1298476
C10H10O5,0.2408806
C12H14O5,0.7189738
C13H16O5,0.9077427
C14H18O5,1.4658853
C15H20O5,1.7854548
C16H22O5,1.3835707
C17H24O5,1.5760907
C18H26O5,1.418306
C19H28O5,1.9492733
C20H30O5,1.4523834
C21H32O5,0.4196669
C22H34O5,0.2381173
C23H36O5,0.1720333
C24H38O5,0.2562377
C25H40O5,0.0798202
C26H42O5,0.0905294
C27H44O5,0.1085318
C28H46O5,0.0874249
C29H48O5,0.2436602
C30H50O5,0.3451872
C31H52O5,0.1672825
C11H10O5,1.104974
C12H12O5,0.7262679
C13H14O5,1.0552455
C14H16O5,1.1525472
C15H18O5,1.7388148
C16H20O5,1.5367913
C17H22O5,1.9394737
C18H24O5,1.8521177
C19H26O5,2.4375341
C20H28O5,1.4852899
C21H30O5,0.7165222
C22H32O5,0.3380302
C23H34O5,0.3111776
C24H36O5,0.3200823
C25H38O5,0.1742554
C26H40O5,0.1514753
C27H42O5,0.1901079
C28H44O5,0.179096
C29H46O5,0.7062759
C30H48O5,0.9371589
C31H50O5,0.1362654
C11H8O5,0.4819302
C12H10O5,0.9940991
C13H12O5,0.9707345
C14H14O5,0.9015211
C15H16O5,1.0303425
C16H18O5,1.4004774
C17H20O5,1.789211
C18H22O5,1.8068925
C19H24O5,2.0258045
C20H26O5,1.9612182
C21H28O5,0.8056446
C22H30O5,0.4941069
C23H32O5,0.3418763
C24H34O5,0.3879556
C25H36O5,0.2764559
C26H38O5,0.1929605
C27H40O5,0.1930195
C28H42O5,0.1942591
C29H44O5,0.2880054
C30H46O5,0.4216467
C13H10O5,0.9223277
