Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H24,1661317.34,5.98039E-05,0.05980389,0.331897552
C14H26,1667136.231,1.30378E-05,0.013037785,0.067134672
C17H32,2183460.151,1.81103E-05,-0.018110309,-0.076657264
C18H34,2319597.664,1.90035E-05,-0.019003509,-0.075933228
C19H36,2677277.547,1.05122E-05,-0.010512191,-0.039776461
C20H38,3289665.991,6.42557E-06,-0.006425568,-0.023088858
C21H40,2121714.467,2.10825E-05,-0.021082519,-0.072123098
C22H42,2642992.237,3.70238E-05,-0.037023844,-0.120863144
C23H44,4539262.48,4.16651E-05,0.041665063,0.130063381
C24H46,2482142.916,6.51833E-05,-0.065183276,-0.194949413
C25H48,3439308.937,3.94862E-05,0.03948619,0.113343731
C26H50,3703344.936,6.06965E-05,0.06069648,0.167488813
C27H52,4682320.075,6.42895E-05,0.064289471,0.1707978
C28H54,3557076.366,1.71982E-05,0.017198226,0.04405029
C29H56,4179947.686,2.17542E-05,0.021754239,0.053788785
C30H58,6381882.707,9.95745E-05,0.099574531,0.237958214
C31H60,5225036.803,9.6607E-05,0.096606985,0.223384503
C32H62,5853222.782,0.000257412,0.257412443,0.576530802
C33H64,6367771.907,8.01716E-05,-0.080171602,-0.174096552
C34H66,5202199.611,0.000179029,0.17902928,0.377287825
C35H68,6157370.938,0.000102046,0.102045807,0.208882501
C36H70,5288246.197,0.00010377,-0.103770221,-0.20648828
C37H72,4376058.25,9.22941E-05,-0.092294124,-0.178669499
C38H74,5062667.154,4.18912E-05,0.041891161,0.078953665
C39H76,4449910.805,0.000176108,-0.176107865,-0.32337418
C40H78,3656081.411,0.000153488,0.153488176,0.274767869
C41H80,3613947.729,0.000244971,0.244971307,0.427803324
C42H82,3164576.193,0.000154717,0.154716658,0.263732821
C43H84,3193659.282,0.000185662,0.185661707,0.309097561
C44H86,3982561.392,1.46486E-05,-0.014648634,-0.02383159
C45H88,3774587.115,0.000276827,-0.276826889,-0.440324332
