Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H26,1722471.012,1.72143E-06,-0.001721435,-0.00886408
C16H30,1792527.426,1.67297E-05,-0.016729736,-0.075279566
C18H34,2298971.806,1.81823E-05,-0.018182312,-0.072651933
C19H36,3925892.328,1.50129E-05,-0.015012904,-0.056806446
C20H38,3117529.88,1.13087E-05,-0.01130875,-0.040635491
C21H40,3283894.887,1.72666E-05,-0.017266587,-0.05906883
C22H42,3337060.469,1.97771E-06,-0.001977713,-0.006456181
C23H44,5165417.588,5.44253E-05,0.054425299,0.169896261
C24H46,4039285.726,1.53957E-05,0.015395747,0.046045428
C25H48,4347811.07,6.44274E-05,0.064427447,0.184936737
C26H50,3564958.855,4.77179E-05,0.047717879,0.131675031
C27H52,5521334.588,4.97107E-05,0.049710675,0.132066322
C28H54,5248233.437,1.6204E-05,0.01620399,0.041503724
C29H56,5988012.876,1.99989E-05,0.019998923,0.049448649
C30H58,6505165.559,9.13638E-05,0.091363753,0.218336509
C31H60,6265066.885,8.14586E-05,0.08145862,0.188356913
C32H62,7583940.132,0.000132953,0.13295297,0.297776912
C33H64,7739930.561,5.75382E-05,-0.057538199,-0.124947011
C34H66,8561619.926,0.000103473,0.103473387,0.218060694
C35H68,7148330.299,3.80595E-05,0.038059545,0.077905924
C36H70,6668901.161,7.41247E-05,-0.074124676,-0.147497777
C37H72,6942436.055,6.20086E-05,-0.062008607,-0.12004065
C38H74,6870398.231,3.01969E-05,0.030196947,0.05691319
C39H76,7380910.005,0.000119571,-0.119570535,-0.219558756
C40H78,6779004.886,8.72558E-05,0.087255818,0.156201576
C41H80,5857236.198,0.000121616,0.121616427,0.212383697
C42H82,4925433.507,0.000103745,0.103745264,0.176846058
C43H84,4432057.929,0.000142117,0.142116527,0.236601681
C44H86,4985409.719,3.33614E-05,0.033361428,0.054275088
C45H88,4098694.058,0.000154165,-0.154165062,-0.245216886
C46H90,4320640.828,0.000164129,0.164129054,0.255372598
C47H92,3718569.462,0.000280526,0.280525732,0.427161916
C48H94,4165640.118,1.81006E-05,0.018100578,0.026986162
C49H96,2927483.329,0.00015715,0.157149858,0.229499207
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C11H18,1929645.088,4.05386E-05,0.040538606,0.270003837
C12H20,2584565.256,4.91534E-05,0.049153447,0.299430399
C13H22,2589831.286,2.48485E-05,0.024848472,0.13946328
C14H24,6691589.026,7.99331E-06,0.007993311,0.041591145
C15H26,5000024.508,9.06879E-06,-0.009068788,-0.043979806
C16H28,4606982.606,1.53109E-05,-0.015310901,-0.069525761
C17H30,4661091.15,1.14271E-05,-0.011427124,-0.04878492
C18H32,4856983.226,1.51344E-05,-0.015134432,-0.060964382
C19H34,9611705.766,9.13306E-06,-0.009133058,-0.034823637
C20H36,11264221.76,1.71555E-05,0.017155537,0.062094366
C21H38,13866600.24,1.03402E-06,-0.00103402,-0.003561933
C22H40,6952626.933,2.54515E-05,-0.025451514,-0.083635974
C23H42,6468502.23,9.82985E-06,0.009829853,0.030879575
C24H44,7957126.075,4.69962E-05,-0.046996178,-0.141408105
C25H46,8974554.22,4.51958E-05,-0.045195763,-0.130487843
C26H48,12508992.4,6.24764E-05,0.062476366,0.173364585
C27H50,10868638.02,3.22571E-06,0.003225713,0.008615887
C28H52,13721052.51,7.62804E-05,0.07628038,0.196392958
C29H54,17495099.72,0.000109917,0.109917389,0.273139237
C30H56,16120272.39,6.51915E-05,0.065191517,0.156545478
C31H58,13104704.64,0.000132322,-0.132322127,-0.307401423
C32H60,17636579.56,8.39345E-05,0.083934452,0.188841871
C33H62,15080517.56,0.000141642,-0.141641857,-0.308934448
C34H64,18375039.57,7.29914E-05,-0.072991402,-0.154478895
C35H66,20060294.22,1.63942E-05,-0.016394151,-0.033697012
C36H68,17320798.97,2.07224E-05,-0.020722417,-0.041400775
C37H70,15615080.94,9.47362E-05,0.094736228,0.184115522
C38H72,14882310.72,8.56388E-05,-0.085638789,-0.162021791
C39H74,14793987.48,7.72862E-05,-0.077286209,-0.142442301
C40H76,15037093.88,6.15634E-05,0.061563404,0.110607239
C41H78,12218604.5,8.97637E-06,0.008976365,0.015731165
C42H80,11200171.94,7.18003E-05,-0.071800347,-0.122814153
C43H82,10132880.31,0.000124568,-0.124567533,-0.208083638
C44H84,11307008.51,1.93025E-05,0.019302521,0.031506228
C45H86,10064907.82,5.62321E-05,0.0562321,0.089731174
C46H88,9174440.1,0.000124301,0.124301346,0.194012108
C47H90,7936295.013,8.22202E-05,0.082220217,0.125583753
C48H92,5813330.647,6.73899E-05,0.067389919,0.100774508
C49H94,6725661.589,0.000166222,0.166222159,0.243464924
C50H96,5180159.112,5.00333E-05,-0.050033295,-0.071809413
C51H98,5865764.932,0.000102934,0.10293369,0.144820611
C52H100,4614959.676,0.00024287,-0.242869664,-0.335093167
C53H102,4009947.14,5.96538E-05,-0.059653782,-0.080744357
C54H104,2857824.951,0.000272926,0.272926263,0.362541523
C55H106,3381878.697,0.000166508,-0.166508229,-0.217138541
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,5522750.132,4.31758E-05,0.043175785,0.266285667
C13H20,5349014.713,2.73076E-05,0.027307565,0.155018773
C14H22,12853831.32,1.10651E-05,0.011065134,0.058184831
C15H24,6756980.171,1.77937E-06,-0.001779367,-0.008714363
C16H26,10944146.39,1.58779E-05,-0.01587793,-0.072766633
C17H28,9945369.486,1.80055E-05,-0.018005526,-0.077536799
C18H30,10976300.41,6.86723E-06,-0.006867231,-0.027888961
C19H32,12897036.23,2.86262E-05,-0.028626244,-0.109995006
C20H34,11464734.53,1.05021E-05,-0.010502056,-0.038291493
C21H36,12606622.03,2.44482E-06,-0.002444819,-0.008480659
C22H38,12556303.71,1.61738E-05,-0.016173833,-0.05350306
C23H40,15407582.4,6.20852E-06,-0.006208519,-0.01962777
C24H42,16905141.89,2.13E-05,-0.021299965,-0.064481131
C25H44,19398553.86,3.64602E-05,-0.036460229,-0.105883063
C26H46,26109581.31,5.05359E-05,0.050535912,0.141019975
C27H48,40493544.62,1.90294E-06,0.001902938,0.005110265
C28H50,48744105.75,5.63764E-06,0.005637643,0.014590503
C29H52,63327903,7.49352E-05,-0.074935213,-0.187147657
C30H54,80815953.81,0.000124274,0.124273833,0.299872274
C31H56,56607076.34,7.22451E-05,0.072245072,0.168624254
C32H58,59535916.24,4.31899E-06,-0.004318989,-0.009761444
C33H60,61702319.99,6.07585E-05,-0.060758516,-0.133105314
C34H62,60268366.51,9.22647E-05,0.092264684,0.196105411
C35H64,60202936.51,9.17362E-05,-0.091736163,-0.189341611
C36H66,51070147.36,3.90285E-05,0.039028528,0.078289348
C37H68,47667946.68,8.74068E-06,-0.008740684,-0.017053926
C38H70,49311403.22,0.000107974,0.107973701,0.205059655
C39H72,45205956.7,1.70368E-05,0.017036808,0.031516762
C40H74,41790515.78,9.99902E-05,0.09999017,0.18029922
C41H76,32155751.88,0.000104604,-0.104603507,-0.183968487
C42H78,28363058.66,2.68407E-06,-0.00268407,-0.004606973
C43H80,30510270.67,0.00013299,0.132990457,0.222904226
C44H82,25895061.81,7.63426E-05,-0.076342635,-0.125020353
C45H84,23804535.15,0.000123672,0.123671552,0.19798304
C46H86,20632472.74,5.50137E-05,-0.055013715,-0.086137536
C47H88,18523084.7,2.84241E-05,-0.028424105,-0.04354926
C48H90,15622367.73,2.71174E-05,0.027117383,0.040673781
C49H92,15284321.18,0.000163789,0.163789498,0.240612177
C50H94,12719248.16,0.000167771,-0.167770918,-0.241488891
C51H96,11797386.34,7.06661E-05,-0.070666062,-0.099705033
C52H98,9730181.918,8.02485E-06,0.008024852,0.011102961
C53H100,9153328.631,1.57772E-05,0.015777225,0.021413681
C54H102,7367504.425,0.000145106,-0.145105896,-0.19326885
C55H104,6343249.235,0.000193381,0.193381315,0.252847575
C56H106,4959662.634,0.000171962,0.171962069,0.220795538
C57H108,4813221.207,0.000307742,-0.307741842,-0.388148758
C58H110,4849207.58,0.000235373,0.235372555,0.291713971
C59H112,3773667.735,5.87878E-05,-0.058787789,-0.071615883
C60H114,2997175.134,0.000361326,-0.361326434,-0.432782217
C61H116,4115615.468,0.000294875,0.294874681,0.347357763
C62H118,3726388.907,0.00047758,0.477580091,0.553444392
C64H122,3281343.867,0.000186864,-0.186864042,-0.209734627
C66H126,2955405.715,0.000261017,-0.261016516,-0.284026665
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H16,2174680.896,5.03695E-05,0.050369509,0.314563287
C13H18,3279742.427,2.60568E-05,0.026056808,0.149630648
C14H20,3112795.456,2.19132E-05,0.021913192,0.11646258
C15H22,2414842.418,1.47441E-06,0.001474412,0.007292856
C16H24,5186774.837,1.61646E-05,-0.016164619,-0.074771189
C17H26,6552958.451,1.6359E-05,-0.01635902,-0.071063315
