Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C16H30,1901951.649,2.13844E-05,-0.021384443,-0.09622457
C18H34,2740659.12,1.6007E-05,-0.016007045,-0.063960112
C19H36,3140080.284,3.22915E-06,-0.00322915,-0.012218592
C20H38,3118552.591,9.21579E-06,0.009215792,0.033114911
C21H40,2688543.315,3.29853E-05,-0.032985344,-0.112842548
C22H42,3830306.211,6.30681E-06,-0.006306809,-0.020588374
C23H44,4615547.714,3.11136E-05,0.031113571,0.097125409
C24H46,3856435.981,2.00411E-06,-0.002004115,-0.005993884
C25H48,4271912.281,3.75214E-05,0.037521412,0.107703904
C26H50,4385732.665,4.81478E-05,0.048147794,0.132861359
C27H52,7203817.816,5.77647E-05,0.057764708,0.153463468
C28H54,4724769.796,2.38618E-07,-0.000238618,-0.000611179
C29H56,6780508.876,1.32061E-05,-0.013206146,-0.032653063
C30H58,7941731.503,0.000123892,0.123891982,0.296070837
C31H60,7242196.785,0.000120469,0.120469322,0.278561428
C32H62,7493920.017,0.000197484,0.197484142,0.442308419
C33H64,8297534.376,5.19552E-05,-0.051955193,-0.112823242
C34H66,7802835.555,0.000139406,0.139406354,0.293786135
C35H68,7772728.08,7.62499E-05,0.076249903,0.156079617
C36H70,7807716.713,5.9094E-05,-0.059094034,-0.117588893
C37H72,7210917.537,0.000106364,-0.106364339,-0.205907617
C38H74,6313410.796,3.11986E-05,0.03119864,0.058801116
C39H76,6921540.039,6.2776E-05,-0.062776039,-0.115271116
C40H78,7287254.901,0.000141557,0.141557436,0.253409976
C41H80,6308736.666,0.000159089,0.159088553,0.277822789
C42H82,5542668.822,0.000132188,0.132188424,0.225330785
C43H84,5622356.811,0.00018091,0.180910141,0.301186949
C44H86,3491415.732,4.31103E-05,0.04311033,0.070135395
C45H88,4721889.293,0.000162465,-0.162465378,-0.258419475
C46H90,3339073.174,0.000162271,0.162270652,0.252481062
C47H92,2567347.626,9.96499E-05,0.099649867,0.151738765
C49H96,2878996.657,0.000385888,0.385887606,0.563544254
C50H98,2368003.857,1.12835E-05,-0.011283479,-0.016147702
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C11H18,2170667.563,2.98271E-05,0.029827054,0.198660482
C12H20,3604404.678,4.11899E-05,0.041189893,0.250918441
C13H22,3008912.702,2.38797E-05,0.023879685,0.134025913
C14H24,6171488.668,3.6481E-06,-0.003648096,-0.018981931
C15H26,4937278.81,6.85883E-06,-0.006858826,-0.033262421
C16H28,4316217.766,2.07351E-05,-0.020735057,-0.094156489
C17H30,4774137.937,1.29373E-05,-0.012937321,-0.055232287
C18H32,7043515.989,2.3477E-05,-0.023477043,-0.09457001
C19H34,12114415.76,1.58032E-05,-0.015803201,-0.060256374
C20H36,11819922.7,8.60608E-06,0.008606079,0.031149652
C21H38,14133641.75,1.19382E-05,-0.01193824,-0.041124179
C22H40,8016485.1,4.13594E-05,-0.041359378,-0.13591065
C23H42,8670835.297,6.23632E-06,0.006236318,0.019590814
C24H44,8769630.512,7.20757E-05,-0.072075709,-0.216870603
C25H46,9685569.065,6.1628E-05,-0.061627955,-0.177930373
C26H48,13595335.7,7.85353E-05,0.07853527,0.217926157
C27H50,10868342.67,3.86291E-06,-0.00386291,-0.010317843
C28H52,15108054.71,9.18562E-05,0.091856159,0.236494663
