Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C23H44,1770483.529,5.78173E-05,0.057817337,0.180484987
C24H46,2116419.62,2.49806E-05,-0.024980635,-0.074711804
C26H50,2209635.277,7.95033E-05,0.07950325,0.219385126
C27H52,2316925.467,7.48755E-05,0.07487553,0.198921777
C28H54,1868166.669,3.53521E-05,0.035352053,0.090548183
C29H56,2027203.56,7.11023E-06,0.007110229,0.017580509
C30H58,2298674.392,8.00556E-05,0.080055554,0.191312742
C31H60,2093469.471,8.81173E-05,0.088117267,0.203753714
C33H64,3625206.424,0.000102089,-0.102089496,-0.22169233
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H22,1647676.952,3.85759E-05,0.038575947,0.216509411
C14H24,2978810.574,1.66761E-05,0.016676067,0.086769641
C15H26,2598151.625,2.91044E-06,0.002910438,0.014114402
C16H28,2068019.671,1.91064E-05,-0.019106419,-0.086760952
C17H30,2402099.152,1.53615E-05,-0.015361523,-0.065581741
C18H32,2476322.316,1.21771E-05,-0.012177062,-0.049051532
C19H34,4020203.879,2.66567E-05,-0.026656677,-0.10163983
C20H36,4151076.256,1.12669E-06,0.001126694,0.004078062
C21H38,3919434.676,2.64025E-05,-0.026402475,-0.090949762
C22H40,2524438.752,3.76782E-05,-0.03767818,-0.123813901
C23H42,2928653.552,3.7238E-07,-0.00037238,-0.001169796
C24H44,3305439.383,8.48879E-05,-0.084887897,-0.25542155
C25H46,3485591.032,4.40522E-05,-0.044052226,-0.127186257
C26H48,5052211.251,7.88352E-05,0.07883518,0.218758373
C27H50,4550730.402,1.93376E-07,0.000193376,0.000516507
C28H52,5299930.618,0.000102517,0.102517154,0.263942669
C29H54,6086752.992,0.000102583,0.102582606,0.254912666
C30H56,5211870.221,6.50201E-05,0.065020071,0.15613378
C31H58,4307184.689,0.000174545,-0.174545225,-0.405491144
C32H60,5530235.449,9.22779E-05,0.092277939,0.207613657
C33H62,4546576.676,0.000179518,-0.179518385,-0.391546781
C34H64,4365454.946,5.67998E-05,-0.056799786,-0.120210983
C35H66,4688296.776,2.74985E-06,-0.002749853,-0.005652127
C36H68,4935071.471,1.43121E-05,-0.014312076,-0.028593723
C37H70,3583340.428,9.55719E-05,0.09557194,0.18573969
C38H72,3557330.38,5.94255E-05,-0.059425473,-0.112428278
C39H74,3883553.685,0.000122652,-0.122651801,-0.226053328
C40H76,3155123.647,8.56557E-05,0.085655701,0.153892412
C45H86,2413820.562,0.000161252,-0.161252253,-0.257314844
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,2060378.879,4.57783E-05,0.045778261,0.282336382
C13H20,2986676.957,3.49206E-05,0.034920591,0.198236178
C14H22,5792339.99,1.66958E-05,0.016695849,0.087793343
C15H24,3235776.474,3.47237E-06,-0.003472367,-0.017005753
C16H26,5005287.817,5.18317E-06,-0.005183168,-0.023753831
