Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C32H62,1976414.106,0.000227557,0.227557317,0.509663796
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H24,2481848.121,3.93019E-05,-0.039301917,-0.20449746
C15H26,1831009.674,2.04822E-05,-0.020482249,-0.09933029
C19H34,2403386.273,2.49349E-05,0.024934908,0.095074861
C20H36,3172370.024,4.38724E-05,0.043872377,0.158795813
C21H38,2975369.367,2.83799E-05,0.028379856,0.097761331
C22H40,2408691.325,1.58643E-05,0.015864303,0.052131531
C23H42,3036679.554,5.74519E-05,0.057451915,0.180479876
C24H44,3220143.393,1.53201E-05,0.015320081,0.046097016
C25H46,3196365.082,2.06978E-05,0.020697764,0.059757961
C26H48,4791763.48,0.000168427,0.168426713,0.467364363
C27H50,3171701.636,8.60457E-05,0.086045652,0.229828158
C28H52,3830815.242,0.00013759,0.137589954,0.354241785
C29H54,5269278.751,0.00015691,0.156910365,0.389914442
C30H56,4511780.883,9.27005E-05,0.092700518,0.2226033
C31H58,3552430.188,0.000124348,-0.124347862,-0.288876175
C32H60,4259104.693,0.000142188,0.142187514,0.319903871
C33H62,3640829.897,0.000122311,-0.122311462,-0.266773005
C34H64,2909702.534,5.77754E-05,-0.057775401,-0.122275773
C35H66,3802634.246,2.00541E-05,0.020054148,0.041219877
C36H68,2807154.153,2.47866E-05,0.024786578,0.049520455
C41H78,2453202.807,1.7577E-05,0.017577042,0.030803931
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,2000432.327,3.6401E-05,-0.036401039,-0.224502578
C13H20,1823926.518,4.34171E-05,-0.043417061,-0.246468684
C14H22,4196471.684,3.62531E-05,-0.036253091,-0.190633018
C15H24,3487413.918,2.3595E-05,-0.023595027,-0.115555518
C16H26,3262100.114,1.24694E-05,-0.012469363,-0.057145582
C17H28,3166955.084,9.72717E-06,-0.009727167,-0.041887886
C18H30,3981551.108,9.34833E-06,0.009348334,0.037965129
C19H32,5066015.654,2.47856E-06,-0.002478558,-0.009523744
C20H34,4865764.493,2.3423E-05,0.023422985,0.08540242
C21H36,6115926.194,3.84341E-05,0.038434075,0.133321245
C22H38,5832714.016,3.50001E-05,0.035000067,0.115780263
C23H40,7673439.197,6.02016E-05,0.06020163,0.19032297
C24H42,7455712.667,3.24429E-05,0.032442939,0.098214123
C25H44,7958151.472,3.59227E-05,0.035922688,0.104322004
C26H46,10583909.55,0.000118971,0.118970849,0.331987012
