Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C31H56,63986632.69,9.37934E-05,0.09379344,0.218919414
C32H58,68703988.5,7.3104E-07,-0.00073104,-0.00165224
C33H60,66968543.68,7.42718E-05,-0.07427179,-0.162709206
C34H62,68453868.6,0.000125016,0.125016181,0.265717591
C35H64,64256906.3,0.000105501,-0.105501447,-0.217752885
C36H66,57893060.22,4.2795E-05,0.042794962,0.085844633
C37H68,48180311.24,3.31263E-06,-0.003312627,-0.006463257
C38H70,51462959.4,0.000120092,0.120091569,0.228073463
C39H72,47955279.71,4.64651E-05,0.046465127,0.08595685
C40H74,46581242.97,0.000101803,0.101803041,0.183568132
C41H76,30915476.27,0.000112279,-0.112279139,-0.197467789
C42H78,31712114.95,1.10581E-05,-0.011058089,-0.018980248
C43H80,31978069.04,0.000137711,0.137710895,0.230816114
C44H82,26371057.79,0.000156066,-0.156066248,-0.255577469
C45H84,26356133.24,0.000177202,0.177201531,0.283677995
C46H86,20480755.77,7.6968E-05,-0.076967991,-0.12051237
C47H88,16981872.95,7.56616E-07,-0.000756616,-0.00115923
C48H90,16967081.81,8.68587E-05,0.086858691,0.130280692
C49H92,14005744.62,0.000215062,0.215061539,0.315932498
C50H94,11573359.7,0.000231963,-0.231963432,-0.333887378
C51H96,10288989.32,0.000100782,-0.100781525,-0.142195914
C52H98,8934000.786,3.55832E-06,-0.00355832,-0.004923192
C53H100,6715072.926,0.000104427,0.104427391,0.141734353
C54H102,6440432.001,0.000110062,-0.11006234,-0.146593781
C55H104,7560118.19,0.000255518,0.255517721,0.334091409
C56H106,4937454.991,0.000190119,0.190119231,0.244108939
C57H108,4499317.144,0.000178615,-0.178614569,-0.225283057
C59H112,4244582.262,0.000174605,0.174605295,0.21270595
C60H114,3555372.293,9.94243E-05,0.099424267,0.119086374
C61H116,3598811.826,0.000501243,0.501242787,0.590456165
C63H120,3054447.837,1.34961E-06,-0.001349614,-0.001539006
C67H128,3609200.748,0.00032154,-0.321539532,-0.344629131
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H16,2188734.839,3.15019E-05,0.03150186,0.196732679
C13H18,3821921.386,1.92186E-05,0.019218634,0.11036258
C14H20,4396636.652,3.70172E-06,-0.003701719,-0.019673618
C15H22,4401756.367,1.45946E-05,-0.014594614,-0.072189044
C16H24,6878439.96,1.46291E-05,-0.014629098,-0.067668471
C17H26,9111074.218,1.69105E-05,-0.016910545,-0.07345913
C18H28,9064888.022,1.71365E-05,-0.017136497,-0.070168537
C19H30,12154023.91,2.96953E-05,-0.029695303,-0.114993442
C20H32,12162727.84,1.02022E-05,-0.010202241,-0.037473741
C21H34,13851551.9,1.89932E-05,-0.01899322,-0.066348139
C22H36,20922107.38,2.83673E-05,0.028367297,0.094468948
C23H38,18200820.1,2.07615E-05,-0.020761489,-0.066056836
C24H40,26097266.24,4.59124E-05,0.045912367,0.13984328
C25H42,24962521.97,6.65484E-05,-0.066548415,-0.194399196
C26H44,43309026.65,6.61405E-05,0.06614054,0.185608525
C27H46,58600989.19,6.42761E-05,0.064276073,0.17355028
C28H48,56755174.5,8.95068E-05,-0.08950677,-0.232862777
C29H50,103448447.4,1.89073E-05,-0.018907292,-0.047459105
C30H52,124336523.9,0.000113183,0.113183237,0.274445545
C31H54,110556398.7,7.27525E-05,-0.072752535,-0.170611367
C32H56,89244116.85,0.000124061,-0.124060577,-0.281675333
C33H58,125574551,4.29254E-05,0.04292539,0.094454894
C34H60,106639975.6,0.000145596,-0.145596287,-0.310791388
C35H62,103762119.4,6.94668E-05,-0.069466821,-0.143977116
C36H64,103145932.9,8.42845E-05,0.084284508,0.169757042
C37H66,83804300.88,0.000117665,-0.11766489,-0.230482073
C38H68,80369053.79,0.000125948,-0.125947969,-0.240114891
C39H70,80030848.22,0.000110111,0.110111476,0.204460004
C40H72,80163970.96,0.000106882,0.106882286,0.193429904
C41H74,59264594.54,0.000135733,-0.135733274,-0.239566347
C42H76,56340190.28,0.000136987,0.136987017,0.235942589
C43H78,45862400.72,0.00016216,-0.162159726,-0.272715948
C44H80,48749118.76,0.000129904,0.129903822,0.213437844
C45H82,40217385.21,0.000144361,-0.144360936,-0.231852358
C46H84,33636622.2,0.00020844,-0.208439996,-0.327397479
C47H86,33317340.87,0.000151938,-0.151937707,-0.233508565
C48H88,25892105.82,0.000107764,0.107764486,0.162127778
C49H90,24295807.01,0.000210956,0.210956427,0.310822314
C50H92,20620033.23,0.000227085,-0.227085445,-0.327817123
C51H94,16964228.82,0.000245239,-0.245238641,-0.347001986
C52H96,15010094.95,0.000185901,0.185900818,0.257926476
C53H98,13712033,0.000302553,0.302553306,0.411767767
C54H100,11725927.29,0.000169956,0.169956301,0.22697686
C55H102,11584548.65,0.000194681,0.194681005,0.255219555
C56H104,8859307.871,0.000108475,0.108475023,0.139640957
C57H106,7753412.123,0.000341875,0.341875484,0.432299888
C58H108,7184653.706,0.000116689,-0.116689297,-0.144983545
C59H110,7101593.791,0.000407601,0.407600729,0.497765617
C60H112,5798189.487,0.000366931,0.366930523,0.440558192
C61H114,5425875.67,0.000203134,0.20313374,0.239857889
C62H116,3706389.21,4.43616E-06,-0.00443616,-0.005152887
C63H118,3331404.217,0.000158673,0.158672671,0.181356081
C64H120,4047094.258,0.000370448,0.370448282,0.416730823
C65H122,3226795.787,0.000102606,0.102606491,0.113634157
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H14,5310446.295,2.07456E-05,0.020745622,0.131210427
C13H16,3499872.09,2.22407E-05,0.022240706,0.129212378
C14H18,3076176.48,2.01265E-06,-0.002012651,-0.010812517
C15H20,3409309.475,1.94329E-05,-0.019432875,-0.097088402
C16H22,5080037.252,1.63759E-05,-0.01637588,-0.076461296
C17H24,5775231.683,2.04396E-05,-0.020439626,-0.089573704
C18H26,6473441.527,9.48952E-06,-0.009489519,-0.039179948
C19H28,7731317.707,1.12092E-05,-0.011209248,-0.043748682
C20H30,10783151.14,1.43477E-05,-0.014347702,-0.053093475
C21H32,10970308.6,6.686E-06,-0.006686001,-0.023521518
C22H34,14263939.39,2.95099E-05,-0.029509885,-0.098938129
C23H36,20966912.34,6.29317E-06,0.006293173,0.020152232
C24H38,28529860.77,2.79085E-05,0.027908522,0.085530949
C25H40,31092955.72,3.22698E-05,-0.0322698,-0.094823882
C26H42,49686736.18,8.14872E-05,0.081487185,0.229976281
C27H44,70700795.48,9.34368E-05,0.093436787,0.253666983
C28H46,71787942.66,0.000113008,0.113007936,0.295553797
C29H48,100506939.3,0.00013467,0.134669879,0.339753199
C30H50,94464212.4,0.000112268,-0.112267784,-0.273562809
C31H52,95236138.08,0.000145984,-0.145983531,-0.343970682
C32H54,128160899.2,8.57361E-05,0.085736111,0.195555886
C33H56,118665611.2,8.6249E-05,0.086249043,0.190631655
C34H58,110613742.3,0.000164805,0.164805348,0.35331544
C35H60,111551898.2,0.000141454,0.141454272,0.29440843
C36H62,115680656.1,9.17771E-05,0.091777055,0.185601234
C37H64,102372193.8,9.63974E-05,0.096397409,0.189571793
C38H66,96917848.99,0.000105423,0.105422719,0.201759617
C39H68,96317240,3.89454E-05,-0.038945368,-0.07258721
C40H70,97726116.27,8.90769E-05,0.089076879,0.161796826
C41H72,72150718.97,7.77688E-05,-0.077768778,-0.1377503
C42H74,68847513.43,6.08556E-05,-0.060855563,-0.105181069
C43H76,61996261.58,0.000106869,0.106869484,0.180341612
C44H78,51355851.83,0.00018506,-0.185060474,-0.305073056
C45H80,49805943.38,4.56815E-05,-0.04568154,-0.073605586
C46H82,42656535.25,1.75561E-05,0.017556115,0.027663036
C47H84,37825102.13,0.00020892,-0.208919766,-0.322080343
C48H86,35767530.51,0.000117745,0.117744691,0.177681451
C49H88,30371533.52,9.80146E-05,0.098014614,0.144844488
C50H90,24345030.9,0.000111237,-0.111236867,-0.161048476
C51H92,21437593.37,0.000121212,-0.12121168,-0.171999796
C52H94,18112805.17,6.93476E-05,0.069347575,0.096485521
C53H96,14994433.53,0.000167271,-0.167270837,-0.228277807
C54H98,14823023.37,0.00020946,0.209460361,0.280489633
C55H100,12943735.27,0.000191298,-0.191298219,-0.251449288
C56H102,10803709.82,2.73225E-06,0.002732246,0.003526398
C57H104,8223229.484,0.000144378,-0.144378154,-0.183031982
C58H106,10098014.85,0.000455749,0.455749228,0.567678759
C59H108,8266793.813,0.00015016,-0.150160406,-0.183829719
C60H110,7643325.668,0.000173871,-0.17387085,-0.209265933
C61H112,7677359.342,6.0466E-05,0.060466027,0.071567896
C64H118,6360333.127,0.000198273,0.198273246,0.223551725
C65H120,4098802.95,0.00053027,0.530270383,0.588575232
C67H124,4678764.233,0.000421495,0.421494621,0.453722384
C69H128,3889401.084,0.000184864,0.184863605,0.193169587
C72H134,3032823.529,0.000366408,-0.366407822,-0.366756771
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H12,5521657.464,1.93485E-05,0.019348468,0.123954033
C13H14,4682665.851,2.58151E-05,0.025815098,0.151755726
C14H16,55129540.85,3.86234E-06,0.003862341,0.020976712
C15H18,3642908.914,1.72943E-05,-0.017294284,-0.087282781
