Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H26,1948512.636,4.95052E-06,-0.004950521,-0.025491417
C17H32,1725032.59,1.09275E-05,-0.010927464,-0.046253739
C18H34,2366458.463,1.3229E-06,-0.001322901,-0.00528598
C19H36,3694497.958,2.1696E-07,-0.00021696,-0.000820942
C20H38,4076496.167,1.46811E-05,0.014681101,0.052753292
C21H40,2193044.382,2.95454E-05,-0.029545391,-0.101074502
C22H42,2680549.002,5.03385E-06,-0.00503385,-0.016432842
C23H44,4473918.076,4.05512E-05,0.040551162,0.126586181
C24H46,3703852.085,2.89827E-05,-0.028982688,-0.086681098
C25H48,4444937.135,5.15983E-05,0.051598261,0.148111006
C26H50,4242874.419,4.54064E-05,0.045406438,0.125296728
C27H52,5340613.678,9.11024E-05,0.091102421,0.242031749
C28H54,4420656.469,2.28036E-05,0.022803594,0.05840747
C29H56,6686748.594,3.09618E-06,0.003096179,0.007655505
C30H58,7807115.429,0.000104461,0.104461152,0.249636014
C31H60,7063742.574,0.000111141,0.111141204,0.256992003
C32H62,7989965.517,0.000192783,0.19278305,0.431779308
C33H64,7416471.267,8.36513E-05,-0.083651283,-0.181652851
C34H66,7740482.726,0.000137647,0.137646618,0.290077651
C35H68,6956248.623,8.18709E-05,0.081870912,0.167585532
C36H70,7229336.804,0.000119182,-0.119181644,-0.237154865
C37H72,6890077.266,0.000115014,-0.115014289,-0.222652802
C38H74,6958929.034,5.94614E-05,0.05946138,0.112068842
C39H76,6682559.516,9.88557E-05,-0.098855671,-0.181521543
C40H78,6596918.915,0.000117087,0.117086652,0.20960344
C41H80,4685559.649,0.000108334,0.108333817,0.189187736
C42H82,5009398.043,0.000180666,0.180665556,0.307965783
C43H84,4342931.755,0.000115367,0.115367306,0.192068431
C44H86,5325709.208,7.62701E-05,0.076270074,0.124082365
C45H88,4559095.138,0.000181158,-0.181158065,-0.288152296
C46H90,4621795.611,0.000242115,0.242114852,0.376712696
C47H92,3301206.063,0.000321622,0.321622058,0.48974008
C48H94,2573329.463,3.29294E-05,0.032929397,0.049094456
C49H96,3206657.51,0.000337398,0.337398349,0.492731297
C51H100,2413132.023,0.000351666,0.351666122,0.493370868
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C11H18,2359309.051,3.09871E-05,0.0309871,0.206386867
C12H20,3486545.688,5.13123E-05,0.051312349,0.31258189
