Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C30H50,13791644.84,2.466E-05,-0.024659977,-0.060088945
C31H52,12928731.1,1.66089E-05,-0.016608853,-0.039134266
C32H54,13472033.58,3.483E-05,0.034830041,0.079444
C33H56,12585860.29,4.54386E-05,0.045438597,0.100430505
C34H58,13432057.86,5.19206E-05,0.05192061,0.111309211
C35H60,12681547.6,5.09575E-05,0.050957505,0.10605773
C36H62,9716868.533,3.76897E-05,0.037689653,0.076219989
C37H64,8872813.976,2.59082E-05,0.025908201,0.050950167
C38H66,7334969.418,4.24298E-05,0.042429824,0.081202847
C39H68,6384101.891,4.13413E-05,-0.041341292,-0.077052783
C40H70,7649125.349,5.18698E-05,0.051869842,0.094214973
C41H72,7919210.4,5.23259E-05,-0.052325905,-0.092683842
C42H74,6290816.83,3.54002E-05,-0.035400212,-0.061184745
C43H76,5400228.14,2.14647E-05,-0.021464722,-0.03622159
C44H78,4115572.027,9.71625E-05,-0.097162484,-0.160172808
C45H80,3885392.071,1.74856E-06,0.001748558,0.00281741
C46H82,3021820.232,4.18076E-05,0.041807583,0.065875889
C47H84,2925031.345,8.35812E-05,-0.083581216,-0.128852655
C48H86,3506191.639,6.88246E-06,-0.006882457,-0.010385904
C49H88,2333584.86,1.54276E-05,-0.015427625,-0.022798707
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H12,9096391.406,1.33137E-05,-0.013313702,-0.085292904
C13H14,4217653.156,1.1744E-05,-0.011744012,-0.069037935
C14H16,75103802.93,1.36698E-05,-0.013669849,-0.074242139
C17H22,2747565.278,1.76135E-05,-0.017613489,-0.077876473
C18H24,2770892.063,5.35513E-06,0.005355132,0.022295605
C19H26,2546231.207,1.51664E-07,0.000151664,0.000596623
C20H28,4637507.466,7.75435E-06,0.007754349,0.028910503
C21H30,6322526.85,8.74611E-06,-0.008746112,-0.030988786
C22H32,5378425.789,5.15323E-06,0.005153234,0.017394861
C23H34,7189533.719,4.7152E-06,0.004715204,0.015197293
C24H36,7683935.322,1.54711E-05,0.015471147,0.047708974
C25H38,9060787.572,4.88188E-05,0.048818779,0.144307306
C26H40,10140142.06,3.51647E-05,0.035164681,0.099810909
C27H42,12612215.93,5.6536E-07,0.00056536,0.001543312
C28H44,12900844.65,1.65545E-05,0.016554498,0.043525032
C29H46,16818115.45,3.81198E-05,0.038119798,0.096662446
C30H48,14737231.77,2.62228E-06,0.002622281,0.006421248
C31H50,15072447.57,2.06387E-05,0.020638684,0.048861532
C32H52,13322441.88,1.68996E-05,0.016899554,0.038724306
C33H54,13688257.7,6.21432E-05,0.062143173,0.13796639
C34H56,14479934.51,3.08212E-05,-0.030821174,-0.066362272
C35H58,10655971.62,1.00993E-05,0.010099282,0.021108163
C36H60,10675161.06,2.60389E-05,0.026038892,0.052874121
C37H62,9838200.917,4.42413E-05,0.044241323,0.087349694
C38H64,7944023.481,8.86607E-06,-0.008866067,-0.017033724
C39H66,7572785.453,2.0753E-05,-0.020753039,-0.038825818
C40H68,8081706.506,1.70358E-05,-0.01703582,-0.031057107
C41H70,6435285.377,1.37623E-05,-0.01376231,-0.024464253
C42H72,6650482.592,8.70786E-05,-0.087078569,-0.151030344
C43H74,5234421.011,4.60023E-05,-0.046002348,-0.077893633
C44H76,4647472.186,5.55263E-05,0.05552629,0.091840516
C45H78,2944801.592,5.34646E-05,-0.053464641,-0.086427007
C46H80,3464464.474,9.43454E-05,0.094345435,0.149133033
C47H82,2992201.316,2.21503E-05,-0.022150327,-0.034254409
C48H84,2520852.35,0.000116357,0.116357259,0.176123473
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H12,29681736.26,1.63286E-05,-0.016328572,-0.097139589
C14H14,92387544.61,1.10011E-05,-0.011001076,-0.060409112
C15H16,14770479.22,1.07172E-05,-0.010717206,-0.054644715
C16H18,2694613.695,6.81977E-06,-0.006819766,-0.03245331
C17H20,3266287.599,5.83041E-06,-0.005830408,-0.026010433
C18H22,4962814.625,6.71389E-06,-0.006713891,-0.028189238
C19H24,4735248.629,3.61314E-06,-0.003613141,-0.014327184
C20H26,5137284.038,7.36889E-06,-0.007368885,-0.027681404
C21H28,6600789.645,1.77022E-05,0.01770224,0.063172853
C22H30,7362814.117,3.68759E-06,0.003687592,0.012532823
C23H32,8830441.39,1.53238E-05,0.015323814,0.049712228
C24H34,10550120.98,1.52367E-05,0.015236732,0.047279978
C25H36,11309821.07,1.03222E-05,-0.010322207,-0.03069512
C26H38,13288534.25,4.50555E-06,0.004505552,0.012862078
C27H40,16174409.62,5.23398E-05,0.052339803,0.14366713
C28H42,14777385.43,6.81305E-06,-0.006813052,-0.018008291
C29H44,18714115.5,6.07441E-05,0.060744053,0.154823335
C30H46,16881958.99,6.48853E-05,0.064885268,0.159674368
C31H48,17187862.07,6.1094E-05,0.061094045,0.145332042
C32H50,14124979.62,6.6732E-06,-0.006673205,-0.015362199
C33H52,15434773.19,6.91703E-05,0.069170345,0.154257986
C34H54,14164631.07,3.06661E-05,0.030666078,0.066316138
C35H56,11984757.36,4.57616E-05,-0.045761588,-0.096049367
C36H58,12108215.95,1.53563E-05,0.015356318,0.031310425
