Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C17H32,2300678.526,1.88198E-05,-0.01881984,-0.079660563
C18H34,2129737.372,7.50881E-08,7.50881E-05,0.000300033
C19H36,3692593.409,4.14268E-06,0.004142684,0.015675258
C20H38,2743954.217,3.39706E-06,0.003397058,0.012206576
C21H40,3446239.799,3.05053E-05,-0.030505292,-0.104358314
C22H42,2478546.127,5.34667E-06,-0.005346674,-0.017454045
C23H44,4008747.986,3.12819E-05,0.031281889,0.097650836
C24H46,4688974.191,8.07014E-06,0.008070142,0.024136089
C25H48,4911721.964,3.27973E-05,0.032797285,0.094143462
C26H50,5333969.899,3.9251E-05,0.039250993,0.108311096
C27H52,6131586.318,6.89693E-05,0.068969267,0.183230612
C28H54,5931218.808,3.68011E-06,-0.003680106,-0.009425956
C29H56,6162124.963,1.63582E-05,-0.016358173,-0.040446656
C30H58,7173689.101,9.88768E-05,0.098876802,0.236290816
C31H60,5601488.815,6.05015E-05,0.060501532,0.1398978
C32H62,8888584.04,0.000163518,0.16351813,0.366234195
C33H64,8655361.438,5.59171E-05,-0.055917074,-0.121426659
C34H66,7138408.892,0.000128598,0.128597753,0.271007996
C35H68,8824127.294,7.86613E-05,0.078661257,0.161015533
C36H70,7972382.321,7.287E-05,-0.072870024,-0.145001193
C37H72,7494510.256,9.05187E-05,-0.090518675,-0.175232458
C38H74,7186663.98,9.18716E-05,0.09187159,0.173153443
C39H76,6720256.16,9.13409E-05,-0.091340864,-0.167722645
C40H78,7598705.28,0.000106763,0.10676328,0.191122988
C41H80,5783982.825,0.000126643,0.126643129,0.221162029
C42H82,5478397.146,0.000106045,0.1060448,0.180765889
C43H84,4158074.592,0.000101884,0.101883844,0.169620587
C44H86,4320469.545,5.66913E-05,0.056691349,0.092230102
C45H88,4078683.284,0.000152552,-0.152552071,-0.242651243
C46H90,3996914.439,7.63938E-05,0.076393754,0.118862998
C47H92,4041717.644,0.00012893,0.128929785,0.196323857
C48H94,3372037.191,9.15491E-06,0.009154912,0.013649063
C49H96,2841946.141,0.00025751,0.257510139,0.376063799
C50H98,3017201.734,6.66924E-05,0.066692423,0.095443026
,,,,
