Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C28H54,2730126.871,2.54014E-05,0.02540137,0.065061228
C30H58,2229901.436,0.000125169,0.125168536,0.299121481
C34H66,2144972.383,3.13136E-05,0.031313569,0.065990482
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H24,1755453.68,3.04125E-05,-0.030412451,-0.1582434
C15H26,1702024.584,4.53505E-06,0.004535051,0.021993088
C19H34,2200016.338,1.06789E-05,0.010678899,0.040717808
C20H36,2799642.159,2.7692E-05,0.02769196,0.100230888
C21H38,2481157.062,4.10883E-05,0.041088303,0.141538677
C22H40,2636575.661,1.17638E-05,0.011763803,0.038656919
C23H42,2820181.015,3.04876E-05,0.030487558,0.095773843
C24H44,2380180.218,9.89681E-06,-0.009896807,-0.029778776
C25H46,2467149.81,9.77704E-06,0.009777037,0.028227966
C26H48,3383528.941,8.36001E-05,0.083600109,0.231980491
C27H50,2618599.36,1.6281E-05,0.01628101,0.043486621
C28H52,3894051.234,9.30794E-05,0.093079396,0.239644033
C29H54,4316690.828,0.000109491,0.109491288,0.272080399
C30H56,3884344.494,7.59368E-05,0.075936814,0.182348337
C31H58,2216557.263,4.03082E-05,-0.04030824,-0.093641258
C32H60,3689515.036,7.64044E-05,0.076404408,0.171900225
C33H62,3418297.548,6.15784E-05,-0.061578388,-0.134308359
C34H64,2844527.091,2.71597E-05,-0.027159725,-0.057480802
C35H66,4135377.044,2.54668E-05,-0.02546683,-0.052345259
C36H68,3481546.779,3.12005E-05,0.031200529,0.06233472
C37H70,2913785.957,0.000107778,0.107777672,0.209460971
C41H78,2215023.091,6.4562E-06,-0.006456199,-0.011314549
C43H82,2208726.221,0.000141899,-0.141898614,-0.237034315
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,2021907.393,2.10107E-05,-0.021010699,-0.129583004
C13H20,2000684.14,2.59785E-05,-0.025978469,-0.147473804
C14H22,3036647.427,2.53203E-05,-0.025320281,-0.133143998
C15H24,2013529.824,2.67563E-05,-0.026756261,-0.131037509
C16H26,3312419.114,6.59896E-06,-0.006598961,-0.03024224
C17H28,2887758.055,2.95623E-06,-0.002956225,-0.012730327
C18H30,2666625.522,7.28159E-06,0.007281592,0.029571746
C19H32,4079346.474,9.64818E-06,-0.009648176,-0.037072665
C20H34,3485659.408,1.72088E-05,0.017208818,0.062744981
C21H36,4930117.697,1.77109E-05,0.017710865,0.061435967
C22H38,4691772.752,2.10536E-05,0.021053599,0.06964533
C23H40,5980983.549,3.64776E-05,0.036477596,0.115321205
C24H42,6541794.702,2.01391E-05,0.020139099,0.060966856
C25H44,7236030.898,2.5762E-05,0.025761973,0.074814577
C26H46,8065725.33,6.37017E-05,0.063701665,0.177758885
C27H48,10974140.82,4.93428E-05,0.049342824,0.13250821
C28H50,10102782.48,5.42735E-05,0.05427349,0.140462522
C29H52,12218048.69,1.29589E-05,-0.012958938,-0.032364422
C30H54,12875686.66,0.000107535,0.107534869,0.259481219
C31H56,10262803.6,8.14893E-05,0.081489343,0.190200926
C32H58,9622353.462,2.51633E-05,0.025163264,0.056872064
C33H60,8618176.133,1.8132E-05,-0.018131963,-0.039722179
C34H62,8445013.703,6.14787E-05,0.061478685,0.130670829
C35H64,9013179.111,4.35552E-05,-0.043555246,-0.089897159
C36H66,7717276.897,3.22242E-05,0.03222422,0.064640233
C37H68,6519870.831,1.5555E-06,-0.0015555,-0.003034932
C38H70,5954237.282,6.03543E-05,0.060354288,0.114622629
C39H72,4938804.946,4.3722E-05,-0.043722031,-0.080882336
C40H74,4990169.683,3.49568E-05,0.034956785,0.063033007
C41H76,4482486.475,5.94666E-05,-0.059466615,-0.104585243
C42H78,4018048.813,1.4321E-05,-0.014321018,-0.024580781
C43H80,3210075.438,3.60882E-05,0.036088166,0.060487082
C44H82,2750415.626,0.000102927,-0.102926788,-0.168555139
C45H84,2495394.541,1.26644E-05,0.012664384,0.020274131
C46H86,2692228.116,2.45005E-05,0.024500532,0.038361625
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H16,2073511.539,1.61027E-05,-0.016102734,-0.100563399
C15H22,2135771.113,1.22047E-05,-0.012204731,-0.060368012
C16H24,2105922.578,5.19268E-07,-0.000519268,-0.002401931
C17H26,2769585.155,1.10621E-05,-0.011062066,-0.048053434
C18H28,2819647.262,1.43422E-05,0.014342218,0.05872685
C19H30,4028757.298,2.48296E-06,-0.002482961,-0.009615133
C20H32,5280850.434,3.66206E-06,0.003662057,0.013451062
C21H34,5800863.823,4.29752E-07,0.000429752,0.001501233
C22H36,6881893.984,4.30749E-05,0.043074865,0.143448184
C23H38,7680927.613,1.96381E-05,0.019638121,0.062482617
C24H40,10973033.09,6.10655E-05,0.061065509,0.185997839
C25H42,8695850.92,1.42368E-05,0.014236831,0.041588197
C26H44,12156931.44,6.35783E-05,0.063578342,0.178418292
C27H46,16918776.46,7.82017E-05,0.078201744,0.211150649
C28H48,13535869.19,1.15617E-05,-0.011561674,-0.030079104
C29H50,19510230.37,3.31552E-05,0.033155159,0.083222608
C30H52,20914020.14,9.32571E-05,0.093257102,0.226128859
C31H54,16918843.9,6.90182E-06,0.00690182,0.016185402
C32H56,14107844.6,3.66629E-05,-0.036662915,-0.083241906
C33H58,14191841.09,3.61784E-05,0.036178414,0.079608554
C34H60,12951204.36,4.61981E-05,-0.046198129,-0.09861502
C35H62,15209174.09,1.59719E-05,-0.015971884,-0.03310337
C36H64,11128765.8,5.24666E-05,0.052466616,0.105672772
C37H66,10171846.66,3.29182E-05,-0.032918164,-0.064480124
C38H68,9360733.037,3.68531E-05,-0.036853083,-0.070258965
C39H70,9409365.052,5.09731E-05,0.050973133,0.094649236
C40H72,8181593.627,2.99065E-05,0.029906548,0.054123288
C41H74,7240229.126,0.00011347,-0.113469869,-0.200271911
C42H76,6147532.501,4.12964E-05,0.041296403,0.071127763
C43H78,4655033.758,6.98131E-05,-0.069813073,-0.117409784
C44H80,5833467.139,5.8424E-05,0.058424015,0.095993295
