Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C32H62,1946032.097,0.000110855,0.110855449,0.248284738
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C19H34,1873292.987,1.03252E-05,0.010325245,0.039369355
C20H36,2413303.921,4.64751E-05,0.046475068,0.168216236
C21H38,2282370.008,3.57415E-05,0.03574155,0.123120481
C23H42,2459965.901,8.36361E-06,0.008363606,0.026273495
C24H44,2229860.263,4.93948E-05,0.049394804,0.148625398
C25H46,2096102.933,2.53789E-05,0.025378904,0.073273206
C26H48,2658612.065,8.22888E-05,0.082288796,0.228341751
C27H50,2912807.338,4.84646E-05,0.048464557,0.129448957
C28H52,3368985.997,8.07445E-05,0.080744537,0.207886463
C29H54,3118105.078,9.44673E-05,0.094467313,0.234746568
C30H56,2273989.845,6.53958E-05,0.065395809,0.157036048
C31H58,2061765.947,4.08783E-05,-0.040878311,-0.094965606
C32H60,4032567.714,0.000103072,0.103071587,0.231897996
C33H62,2155072.429,3.18425E-05,-0.031842455,-0.069451441
C34H64,3117843.83,5.5101E-06,-0.005510103,-0.011661573
C35H66,2714966.176,1.90474E-05,-0.019047404,-0.039150585
C37H70,2056927.206,1.00613E-05,0.010061292,0.019553661
C40H76,2344834.691,6.15882E-05,0.061588172,0.11065174
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,2154520.604,2.71157E-05,-0.027115663,-0.167235232
C13H20,2010601.547,2.4111E-05,-0.02411103,-0.136872777
C14H22,2276416.701,2.72641E-05,-0.027264123,-0.143365489
C16H26,3014530.968,4.57552E-06,-0.004575517,-0.020969042
C17H28,2898874.885,1.88136E-06,-0.001881355,-0.008101639
C18H30,3325228.395,6.97933E-06,0.006979325,0.028344193
C19H32,4613976.788,9.95452E-08,-9.95452E-05,-0.000382498
C20H34,2616111.542,9.16913E-06,0.009169126,0.033431503
C21H36,3495809.156,2.20996E-05,0.022099582,0.076659678
C22H38,3868183.005,1.69822E-05,0.016982224,0.056177217
C23H40,5113874.078,4.26252E-05,0.042625246,0.134756541
C24H42,5915967.633,3.07271E-05,0.030727104,0.093019796
C25H44,5402143.453,3.85362E-05,0.038536199,0.111911824
C26H46,7717095.421,6.90973E-05,0.069097349,0.192815487
C27H48,8140347.701,5.55826E-05,0.0555826,0.149264882
C28H50,9059573.1,6.94772E-05,0.069477202,0.179810494
C29H52,9393729.728,5.33833E-06,-0.005338326,-0.013332253
C30H54,11279994.36,0.00010859,0.108590165,0.262027643
C31H56,8204581.113,9.77298E-05,0.097729843,0.22810721
C32H58,8017039.895,3.91089E-05,0.039108911,0.088390938
C33H60,8528023.338,1.3462E-05,0.013462047,0.029491668
C34H62,7376198.962,6.85725E-05,0.06857254,0.145748573
C35H64,7218775.86,1.2715E-05,-0.01271504,-0.026243588
C36H66,7218241.748,4.38033E-05,0.043803337,0.087867386
C37H68,4304342.087,3.52666E-05,0.035266594,0.068808557
C38H70,4449958.484,3.09392E-05,0.030939204,0.058758592
C39H72,3455633.587,2.35696E-05,0.023569641,0.043601992
C40H74,4590572.401,3.96591E-05,0.039659092,0.071512063
C41H76,3188424.753,8.92327E-05,-0.089232736,-0.156935574
C42H78,2914310.409,2.56406E-05,-0.025640644,-0.044009935
C43H80,2168120.226,4.92188E-06,-0.004921882,-0.008249527
C44H82,2188959.814,0.000125181,-0.125181116,-0.204999308
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H16,1721304.292,1.87984E-05,-0.018798418,-0.117398248
C15H22,2351559.907,2.08426E-05,-0.020842607,-0.103093364
C16H24,2017008.221,2.27276E-06,0.002272764,0.010512917
C17H26,2462246.915,1.76675E-06,0.001766748,0.007674726
C18H28,2620187.678,1.12827E-05,0.011282702,0.046199095
C19H30,3835973.151,2.90659E-06,0.002906592,0.011255617
C20H32,3957411.815,1.58083E-05,0.015808291,0.058065263
C21H34,4576650.796,1.16768E-05,0.011676833,0.040790143
C22H36,6933206.942,4.86603E-05,0.048660347,0.162048994
C23H38,6726429.322,3.18229E-05,0.031822911,0.101250968
C24H40,9031317.236,5.00226E-05,0.050022625,0.152362608
C25H42,8886040.534,2.05449E-05,0.020544893,0.060015114
C26H44,11177730.96,6.55375E-05,0.06553745,0.18391609
C27H46,15453577.18,9.0578E-05,0.090577979,0.244567423
C28H48,11687905.99,1.81581E-05,0.018158126,0.047240578
C29H50,16589337.25,4.92957E-05,0.049295669,0.123736826
C30H52,17375122.8,0.000102347,0.102346592,0.248168961
C31H54,14829513.86,1.84698E-05,0.018469795,0.043313364
C32H56,13290657.8,1.518E-05,-0.015180038,-0.034465761
C33H58,12841397.75,4.91683E-05,0.049168288,0.108192036
C34H60,11668358.25,2.07896E-05,-0.020789576,-0.044377651
C35H62,11601677.85,7.23012E-06,-0.007230124,-0.014985174
C36H64,8824052.209,7.35369E-05,0.073536909,0.148110354
C37H66,7746776.841,1.63544E-05,-0.016354432,-0.032035074
