Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C29H56,1958416.691,2.47381E-05,-0.024738051,-0.061166456
C35H68,1996030.852,5.24842E-05,0.052484151,0.107432348
C36H70,2068025.159,9.94028E-06,-0.009940283,-0.019779777
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H24,2511919.027,9.7424E-08,-9.7424E-05,-0.000506921
C19H34,1983595.496,4.23271E-06,0.004232709,0.016138989
C20H36,2008318.499,1.15145E-05,-0.011514535,-0.041676791
C23H42,2732784.214,5.30622E-07,-0.000530622,-0.0016669
C24H44,3629028.362,2.0397E-05,-0.020396958,-0.061372974
C25H46,2127676.389,3.38806E-05,-0.03388064,-0.097819161
C26H48,2763838.622,3.19885E-05,0.031988549,0.088764469
C27H50,2282212.23,3.85165E-05,-0.038516535,-0.102877763
C28H52,3165934.128,3.43808E-05,0.034380838,0.088517577
C29H54,2887362.577,7.45343E-05,0.074534253,0.185213907
C30H56,4092064.301,2.95053E-05,0.02950529,0.070851544
C31H58,2973827.788,6.58733E-05,-0.065873259,-0.153032105
C32H60,2563218.358,5.96361E-05,0.059636092,0.134173643
C33H62,3590567.169,0.00010379,-0.103790041,-0.226376014
C34H64,3341173.709,4.0532E-05,-0.040531953,-0.085781765
C35H66,3736335.716,7.88538E-06,-0.007885375,-0.016207829
C36H68,3109386.539,5.12138E-07,-0.000512138,-0.001023187
C37H70,2220728.581,8.89502E-06,0.00889502,0.017287063
C39H74,3065700.854,3.98749E-05,-0.039874877,-0.073491368
C40H76,2575755.352,9.54162E-06,0.009541623,0.017142857
C41H78,2768037.168,4.45245E-05,0.044524507,0.078029617
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,2425651.5,2.24931E-05,0.022493077,0.138725542
C13H20,2059986.269,2.57648E-05,0.025764796,0.146260829
C14H22,1949512.174,1.93106E-06,0.001931065,0.010154299
C15H24,2175702.835,1.12531E-05,-0.011253053,-0.055111288
C16H26,2753653.165,1.23281E-05,-0.012328079,-0.056498095
C17H28,2810550.99,1.60613E-05,-0.016061266,-0.069164276
