Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H24,2023505.802,1.63702E-05,0.016370204,0.09085079
C17H32,2038424.422,1.24172E-05,-0.012417158,-0.052559311
C18H34,2157578.715,1.58219E-05,-0.015821927,-0.063220427
C19H36,3427779.748,6.4443E-06,-0.0064443,-0.024384208
C20H38,3811186.933,1.24371E-05,-0.01243707,-0.044689862
C21H40,2467154.174,5.17861E-06,-0.005178606,-0.017715963
C22H42,2542235.773,1.2805E-05,-0.012805041,-0.041801642
C23H44,4514145.815,6.97447E-05,0.069744727,0.217718019
C24H46,3879433.202,1.24117E-05,-0.012411734,-0.037120874
C25H48,4235761.925,3.93458E-05,0.039345778,0.112940681
C26H50,5115329.11,3.61118E-05,0.036111805,0.099648667
C27H52,5375928.759,7.84404E-05,0.078440448,0.208392693
C28H54,5483687.116,7.14482E-06,0.007144825,0.018300236
C29H56,6303546.854,1.07854E-05,0.010785432,0.026667689
C30H58,7229541.013,9.76938E-05,0.097693821,0.233463787
C31H60,7218019.939,6.87354E-05,0.068735428,0.158937054
C32H62,7652695.847,0.000188316,0.188316369,0.42177521
C33H64,8293699.948,5.37172E-05,-0.053717247,-0.116649627
C34H66,8053023.879,0.000155411,0.155411125,0.327514724
C35H68,8005909.576,2.5473E-05,0.025473031,0.052141979
C36H70,7636709.616,8.81834E-05,-0.088183429,-0.175472736
C37H72,6597403.617,8.79703E-05,-0.087970333,-0.170299198
C38H74,7729515.908,6.00152E-05,0.06001517,0.113112589
C39H76,6053914.17,9.64622E-05,-0.096462204,-0.177126592
C40H78,6885915.028,0.00012689,0.126889991,0.227152953
C41H80,5875298.847,0.000131299,0.131298725,0.229292286
C42H82,5660838.435,0.000119691,0.119690639,0.204026835
C43H84,4784506.845,9.12347E-05,0.091234656,0.151891363
C44H86,4698664.6,0.000116157,0.116156896,0.188973495
C45H88,5443241.201,0.00014878,-0.148779611,-0.236650721
C46H90,4433251.671,0.000186317,0.186316698,0.28989492
C47H92,2330699.83,0.000221625,0.221624998,0.337472638
C48H94,2349983.277,0.000120044,0.120043611,0.178973085
C49H96,3548183.028,0.000265088,0.265087683,0.387129926
C51H100,2524135.405,0.000289096,0.289096347,0.405588445
,,,,
