Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C32H58,67865233.04,2.19139E-05,-0.021913923,-0.049528155
C33H60,63348447.87,0.000100506,-0.100506452,-0.220182184
C34H62,70076229.78,0.000132565,0.132565034,0.281762419
C35H64,65106365.18,0.000111092,-0.111091793,-0.229291246
C36H66,56282615.06,6.10179E-05,0.06101794,0.122399049
C37H68,51480909.31,1.15619E-05,-0.01156188,-0.022558353
C38H70,47963400.82,0.000147428,0.147427931,0.279989669
C39H72,44463193.83,5.84201E-05,0.058420063,0.108072546
C40H74,42026746.43,0.000167027,0.167026667,0.301177382
C41H76,31074873.82,0.000104217,-0.1042174,-0.183289433
C42H78,29500537.66,1.01966E-05,-0.010196554,-0.017501499
C43H80,26955097.38,0.000164964,0.164964174,0.276495112
C44H82,24325654.69,0.000124762,-0.12476208,-0.204313085
C45H84,22292811.85,0.000175567,0.1755675,0.28106211
C46H86,19277140.37,7.07855E-05,-0.070785513,-0.110832176
C47H88,17123656.35,2.11126E-06,0.002111262,0.003234716
C48H90,14275828.67,2.5849E-05,0.025849032,0.038771362
C49H92,12787505.59,0.000226965,0.226964934,0.333418977
C50H94,13594793.91,0.000201936,-0.201935559,-0.29066536
C51H96,10203488,0.000108182,-0.108182072,-0.152637585
C52H98,6563858.386,2.15595E-05,-0.021559494,-0.029829113
C53H100,7724219.869,8.23153E-05,0.082315277,0.111722628
C54H102,5720727.53,0.000260631,-0.260630689,-0.34713816
C55H104,5823189.646,8.12112E-05,0.081211212,0.106184291
C56H106,6108992.14,0.000197471,0.197470953,0.253548388
C57H108,4770451.693,0.000254423,-0.254423412,-0.320899266
C58H110,4545132.752,0.000476425,0.476424916,0.590467331
C59H112,2577752.586,5.08556E-05,0.0508556,0.061952811
C61H116,2827253.72,0.000309791,0.309790884,0.364928817
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H16,2781849.212,6.40922E-05,0.064092248,0.400263342
