Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H24,2020553.816,2.91785E-05,0.029178488,0.161933761
C17H32,2156570.269,1.3769E-05,-0.013768977,-0.058281286
C18H34,1766971.041,2.21618E-05,-0.022161763,-0.088552814
C19H36,2279147.724,1.75095E-05,-0.017509504,-0.066253182
C20H38,2850466.924,5.9852E-06,0.005985195,0.021506476
C21H40,2687047.953,3.55949E-05,-0.035594893,-0.121769791
C22H42,2426129.259,7.98629E-06,0.007986287,0.026070977
C23H44,3639303.05,5.32458E-05,0.053245809,0.166214317
C24H46,2926779.573,3.74208E-05,-0.037420796,-0.111917699
C25H48,3345356.55,4.41291E-05,0.044129104,0.126671051
C26H50,4164838.421,8.66091E-05,0.086609108,0.238993375
C27H52,5594810.361,7.6802E-05,0.076802043,0.204039944
C28H54,4299905.635,3.02307E-06,0.003023071,0.007743075
C29H56,4245784.456,1.89959E-06,-0.001899595,-0.004696872
C30H58,6281055.425,9.79593E-05,0.097959349,0.234098332
C31H60,6525443.615,0.000117771,0.117770607,0.272321184
C32H62,7734911.355,0.00024873,0.248730259,0.557085176
C33H64,5195755.624,7.1732E-05,-0.071731964,-0.155769466
C34H66,7602809.395,0.000208879,0.208878926,0.440193222
C35H68,5611412.011,9.62098E-05,0.096209832,0.196936561
C36H70,5643729.185,0.00015241,-0.152409896,-0.303274456
C37H72,5320827.359,0.000141448,-0.141447892,-0.273824842
C38H74,4624209.899,8.65621E-05,0.086562081,0.163146435
C39H76,4640332.872,0.000179901,-0.179901022,-0.33033928
C40H78,5546778.837,0.000169185,0.169185135,0.302867883
C41H80,4752964.441,0.000176402,0.176401898,0.308057784
C42H82,3913707.98,0.000111498,0.111498319,0.190062056
C43H84,3659790.813,0.000180248,0.180247984,0.300084563
C44H86,3834850.939,6.99792E-06,-0.006997916,-0.01138478
C45H88,3353210.958,0.000217771,-0.217770977,-0.346389255
C46H90,3147908.729,0.000332955,0.332954696,0.518052736
C47H92,2701301.623,0.000343633,0.34363315,0.523256793
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C11H18,2177085.386,4.22147E-05,0.042214712,0.281167396
C12H20,3417887.161,5.38905E-05,0.053890542,0.328287589
C13H22,3161937.914,3.02509E-05,0.030250902,0.169784681
C14H24,5823362.717,4.6135E-06,0.004613502,0.024005178
C15H26,5058680.259,8.137E-06,-0.008136997,-0.039461012
C16H28,4240254.054,1.42219E-05,-0.014221853,-0.064580469
C17H30,4313593.297,1.17382E-05,-0.011738162,-0.050112813
C18H32,6023772.691,1.62551E-05,-0.016255121,-0.065478731
C19H34,9895254.642,1.99058E-05,-0.019905813,-0.075899313
C20H36,10372701.6,1.07851E-05,0.010785088,0.039036563
C21H38,11669138.44,8.02929E-06,-0.008029294,-0.02765886
C22H40,5760567.622,5.27419E-05,-0.052741924,-0.173314724
C23H42,6933699.434,6.79863E-06,-0.006798626,-0.021357255
C24H44,7070006.189,7.56025E-05,-0.075602541,-0.227482584
C25H46,6999968.729,5.25094E-05,-0.052509433,-0.151603649
C26H48,11546195.89,8.92299E-05,0.089229907,0.247602521
C27H50,9906925.331,1.07308E-05,-0.010730773,-0.028661922
C28H52,12126099.07,0.000101469,0.101468992,0.261244049
C29H54,16779669.14,0.000148397,0.148396781,0.368758609
C30H56,13896187.61,8.75731E-05,0.087573102,0.210290751
C31H58,11921575.47,0.000227923,-0.227923368,-0.529495477
C32H60,16982000.25,0.000141888,0.141887949,0.319229887
C33H62,13573332.13,0.000246057,-0.246056694,-0.5366732
C34H64,13956446.07,0.000141479,-0.141478797,-0.299425517
C35H66,17078093.52,1.47963E-05,-0.014796339,-0.030412824
C36H68,12564168.34,4.05552E-05,-0.040555195,-0.081024163
C37H70,11629270.58,0.000158674,0.158674288,0.308376215
C38H72,11731590.69,0.000111814,-0.111813862,-0.211542951
C39H74,11513247.3,0.000125897,-0.125897324,-0.232034987
C40H76,10635353.72,0.000180908,0.180908055,0.325026549
C41H78,9025434.114,2.94175E-05,-0.029417512,-0.051554466
C42H80,9493589.851,0.000159615,-0.159614976,-0.273020659
