Formula,Mono Inty
C13H18O,0.1914205
C14H20O,0.1294962
C15H22O,0.0904328
C17H26O,0.0902487
C18H28O,0.0852437
C13H16O,0.1344128
C14H18O,0.1631336
C15H20O,0.1674247
C16H22O,0.1038795
C17H24O,0.1449293
C14H16O,0.1383169
C15H18O,0.1921174
C16H20O,0.1125159
C17H22O,0.1063255
C18H24O,0.082091
C14H14O,0.1663429
C15H16O,0.1403594
C16H18O,0.1263512
C17H20O,0.1134152
C18H22O,0.105779
C19H24O,0.0830054
C15H14O,0.1354878
C16H16O,0.1336042
C17H18O,0.0981635
C18H20O,0.0794446
C14H10O,0.1757286
C15H12O,0.1137139
C16H14O,0.1237046
C17H16O,0.114426
C18H18O,0.0921177
C12H18O2,0.2086506
C13H20O2,0.184686
C14H22O2,0.2197776
C15H24O2,0.0943128
C16H26O2,0.1518137
C12H16O2,0.3191274
C13H18O2,0.3335358
C14H20O2,0.457036
C15H22O2,0.4151701
C16H24O2,0.1952747
C17H26O2,0.1512238
C18H28O2,0.1650313
C19H30O2,0.0838438
C20H32O2,0.0922812
C12H14O2,0.4133549
C13H16O2,0.4069971
C14H18O2,0.5549875
C15H20O2,0.3230096
C16H22O2,0.3659472
C17H24O2,0.2617785
C18H26O2,0.2335882
C19H28O2,0.1763821
C20H30O2,0.1339086
C21H32O2,0.0844064
C12H12O2,0.3793438
C13H14O2,0.3228102
C14H16O2,0.4462364
C15H18O2,0.3859801
C16H20O2,0.4982879
C17H22O2,0.3454952
C18H24O2,0.3479827
C19H26O2,0.2557845
C20H28O2,0.4636177
C21H30O2,0.1157495
C22H32O2,0.0986659
C13H12O2,0.4089561
C14H14O2,0.3882595
C15H16O2,0.3404388
C16H18O2,0.2830453
C17H20O2,0.2929817
C18H22O2,0.3400819
C19H24O2,0.2741947
C20H26O2,0.2382854
C21H28O2,0.148796
C22H30O2,0.1235822
C13H10O2,0.3135513
C14H12O2,0.355358
C15H14O2,0.3846753
C16H16O2,0.2606381
C17H18O2,0.2580167
C18H20O2,0.2298915
C19H22O2,0.1857341
C20H24O2,0.1647022
C21H26O2,0.1144809
C22H28O2,0.1159209
C23H30O2,0.0881039
C13H8O2,0.3959855
C14H10O2,0.4262777
C15H12O2,0.4573913
C16H14O2,0.2698286
C17H16O2,0.2092831
C18H18O2,0.1691119
C19H20O2,0.129836
C20H22O2,0.1210188
C21H24O2,0.1359397
C22H26O2,0.1085733
C14H8O2,0.1197776
C15H10O2,0.3855432
C16H12O2,0.2566112
C17H14O2,0.217766
C18H16O2,0.1902689
C19H18O2,0.1062535
C20H20O2,0.1165807
C21H22O2,0.104399
C15H8O2,0.2252013
C16H10O2,0.2359091
C17H12O2,0.1704459
C18H14O2,0.1651143
C19H16O2,0.111868
C20H18O2,0.0908412
C21H20O2,0.0962899
C11H18O3,0.1217469
C12H20O3,0.2101143
C13H22O3,0.1631364
C14H24O3,0.1158865
C15H26O3,0.0883109
C11H16O3,0.2942944
C12H18O3,0.3044311
C13H20O3,0.3861009
C14H22O3,0.2838013
C15H24O3,0.3229432
C16H26O3,0.2115633
C17H28O3,0.1588609
C18H30O3,0.0891649
C19H32O3,0.0920592
C20H34O3,0.0940507
C10H12O3,0.1473684
C11H14O3,0.3921871
C12H16O3,0.4594129
C13H18O3,0.661893
C14H20O3,0.6230648
C15H22O3,0.7428855
C16H24O3,0.4469821
C17H26O3,0.4050162
C18H28O3,0.3308657
C19H30O3,0.2527899
C20H32O3,0.259488
C21H34O3,0.1069934
C11H12O3,0.4881905
C12H14O3,0.5103108
C13H16O3,0.7265597
C14H18O3,0.7039504
C15H20O3,0.8097265
C16H22O3,0.5528848
C17H24O3,0.538712
C18H26O3,0.6507477
C19H28O3,0.510894
C20H30O3,0.3935023
C21H32O3,0.233199
C22H34O3,0.1552187
C11H10O3,0.7288343
C12H12O3,0.5592378
C13H14O3,0.7810201
C14H16O3,0.561251
C15H18O3,0.7103618
C16H20O3,0.6339889
C17H22O3,0.6038582
C18H24O3,0.6354146
C19H26O3,0.6317269
C20H28O3,0.5479349
C21H30O3,0.2981495
C22H32O3,0.2258798
C23H34O3,0.0856384
C11H8O3,0.4837806
C12H10O3,0.5696255
C13H12O3,0.8051149
C14H14O3,0.6017597
C15H16O3,0.7674942
C16H18O3,0.5618635
C17H20O3,0.6709663
C18H22O3,0.5003958
C19H24O3,0.6435628
C20H26O3,0.571942
C21H28O3,0.450002
C22H30O3,0.2892531
C23H32O3,0.1467631
C12H8O3,0.4504631
C13H10O3,0.6531131
C14H12O3,0.5506623
C15H14O3,0.4366654
C16H16O3,0.5645749
C17H18O3,0.4652487
C18H20O3,0.4823611
C19H22O3,0.5650513
C20H24O3,0.3864513
C21H26O3,0.3691874
C22H28O3,0.2035152
C23H30O3,0.1536701
C24H32O3,0.0930947
C12H6O3,0.1583998
C13H8O3,0.6236489
C14H10O3,0.7857775
C15H12O3,0.5327474
C16H14O3,0.5247112
C17H16O3,0.4193804
C18H18O3,0.3508601
C19H20O3,0.3236149
C20H22O3,0.3313179
C21H24O3,0.2888936
C22H26O3,0.252492
C23H28O3,0.1376583
C13H6O3,0.0928261
C14H8O3,0.4639032
C15H10O3,0.5435191
C16H12O3,0.4858014
C17H14O3,0.4157725
C18H16O3,0.2842597
C19H18O3,0.2283103
C20H20O3,0.2200989
C21H22O3,0.1930193
C22H24O3,0.2225323
C14H6O3,0.1008937
C15H8O3,0.3223013
C16H10O3,0.4832199
C17H12O3,0.5162818
C18H14O3,0.3683503
C19H16O3,0.2427675
C20H18O3,0.2096353
C21H20O3,0.1642874
C22H22O3,0.1139956
C16H8O3,0.1624866
C17H10O3,0.2912576
C18H12O3,0.2859874
C19H14O3,0.2844831
C20H16O3,0.2478004
C21H18O3,0.1393891
C22H20O3,0.1170287
C18H10O3,0.1619592
C19H12O3,0.1858614
C20H14O3,0.2443385
C21H16O3,0.1410132
C22H18O3,0.0903656
C19H10O3,0.1507403
C20H12O3,0.1702396
C21H14O3,0.1459845
C22H16O3,0.1238622
C23H18O3,0.2149924
C10H16O4,0.4581191
C11H18O4,0.3968186
C12H20O4,0.2511204
C13H22O4,0.2286485
C14H24O4,0.261544
C15H26O4,0.1995253
C16H28O4,0.1773119
C17H30O4,0.1482098
C18H32O4,0.1375144
C19H34O4,0.0911422
C10H14O4,0.4182651
C11H16O4,0.5762399
C12H18O4,0.7079204
C13H20O4,0.6222289
C14H22O4,0.6820917
C15H24O4,0.8292007
C16H26O4,0.3896807
C17H28O4,0.3412202
C18H30O4,0.2390055
C19H32O4,0.2222929
C20H34O4,0.1593639
C21H36O4,0.0944487
C10H12O4,0.4867138
C11H14O4,0.5949287
C12H16O4,0.8885647
C13H18O4,0.8864461
C14H20O4,1.0043184
C15H22O4,1.4648353
C16H24O4,0.7503394
C17H26O4,0.713002
C18H28O4,0.6549976
C19H30O4,0.6080174
C20H32O4,0.6207134
C21H34O4,0.1438654
C22H36O4,0.0840122
C10H10O4,0.4800018
C11H12O4,0.6268383
C12H14O4,1.0163883
C13H16O4,0.8613398
C14H18O4,1.2359413
C15H20O4,1.5033574
C16H22O4,1.1543264
C17H24O4,1.1631794
C18H26O4,1.2913362
C19H28O4,1.1864532
C20H30O4,1.2069168
C21H32O4,0.3448213
C22H34O4,0.2112153
C24H38O4,0.0984179
C10H8O4,0.6210117
C11H10O4,0.7206802
C12H12O4,1.0659817
C13H14O4,0.9704688
C14H16O4,1.1159178
C15H18O4,1.1916372
C16H20O4,1.0066937
C17H22O4,1.4530344
C18H24O4,1.7693655
C19H26O4,1.4717891
C20H28O4,1.1926744
C21H30O4,0.6383123
C22H32O4,0.3067209
C23H34O4,0.2170136
C24H36O4,0.1651748
C25H38O4,0.1444844
C26H40O4,0.1012147
C27H42O4,0.1017523
C28H44O4,0.0893274
C29H46O4,0.0824675
C10H6O4,0.4841531
C11H8O4,0.715815
C12H10O4,1.1327794
C13H12O4,0.8042222
C14H14O4,1.0479884
C15H16O4,0.9052252
C16H18O4,0.9408475
C17H20O4,1.0008628
C18H22O4,1.2829342
C19H24O4,1.29006
C20H26O4,1.2792248
C21H28O4,0.8105944
C22H30O4,0.3315101
C23H32O4,0.270862
C24H34O4,0.2081079
C25H36O4,0.2175822
C26H38O4,0.1414551
C27H40O4,0.1566908
C28H42O4,0.0975672
C29H44O4,0.1124504
C30H46O4,0.0772221
C11H6O4,0.2625689
C12H8O4,0.7599684
C13H10O4,0.8393442
C14H12O4,1.1071799
C15H14O4,0.8262054
C16H16O4,1.0139486
C17H18O4,0.7445467
C18H20O4,0.9725549
C19H22O4,0.97433
C20H24O4,1.0017556
C21H26O4,0.7042277
C22H28O4,0.3361345
C23H30O4,0.3268431
C24H32O4,0.2203025
C25H34O4,0.1603204
C26H36O4,0.1709067
C27H38O4,0.1501703
C28H40O4,0.1128234
C29H42O4,0.1026318
C12H6O4,0.4250933
C13H8O4,0.6679494
C14H10O4,0.6771442
C15H12O4,0.9695691
C16H14O4,0.92651
C17H16O4,0.7774745
C18H18O4,0.9019246
C19H20O4,0.6730403
C20H22O4,0.7085639
C21H24O4,0.4360521
C22H26O4,0.3487462
C23H28O4,0.144728
C24H30O4,0.1885535
C25H32O4,0.1852683
C26H34O4,0.1491803
C27H36O4,0.1513783
C28H38O4,0.1062578
C29H40O4,0.1177005
C13H6O4,0.1550073
C14H8O4,0.5839165
C15H10O4,0.824926
C16H12O4,0.8665229
C17H14O4,0.7750552
C18H16O4,0.6476826
C19H18O4,0.5494832
C20H20O4,0.4714034
C21H22O4,0.3771279
C22H24O4,0.2871789
C24H28O4,0.1387697
C25H30O4,0.0882321
C26H32O4,0.1050333
C27H34O4,0.0965512
